Группа тем;Текст инцидента;Тема
Дороги;школы падает дорожный знак ,;Содержание дорожных знаков/Установка новых дорожных знаков, с внесением в схему дислокации, замена старых знаков на новые
Благоустройство;- похерели. Изгородь пережила лихие 90-е, но не;★ Ненадлежащее содержание зеленых насаждений (газонов)/деревьев и кустарников
Здравоохранение/Медицина;тарелке 21 детской больницы в Закамске, вот и причина ротавирусной инфекции. Супчик, кстати протертый для детишек, сколько таких перетерли неизвестно», – пишет автор поста.При этом ранее в этой же больнице пациентам выдали постельное;★ Питание в медицинских учреждениях
Безопасность;детские площадки в вечернее;Безопасность общественных пространств
Безопасность;с детьми дома сидеть;Безопасность общественных пространств
Благоустройство;"между сквером им. П. Морозова (который, считаю, следует переименовать в сквер погибшим в гражданскую анархию 90-х годов) и нижней частью ул. Менжинского крайне востребована жителями м/р ПДК, когда они идут на остановку электричек ""КамГЭС"" и обратно, а также жителями";★ Нарушение правил уборки внутридворового проезда, пешеходной дорожки
Здравоохранение/Медицина;сегодняшний день ваше молчание красноречивее всех ваших отписок. Если ничего;Нехватка материально-технического обеспечения
Здравоохранение/Медицина;работаешь себе спокойно 5 лет. При необходимости - захотел поменял спокойно специализацию. Сейчас что? Развели бюррократию. То плати какой-то непонятной ассоциации, а то и двум: РАМС и городской, так сказать местной' они вроде есть, но их никто не видел, только списание из ЗП в расчётке. То оплати какие-то занятия на НМО (ну, нет у меня времени ловить неуловимые бесплатные занятия). То смотри во время работы онлайн трансляции... Извините, но на работе мы должны работать, должны быть сосредоточены на пациентах, да именно так меня учили... А после работы мы должны отдыхать и заниматься семьями... Да-да кроме работы у медсестёр есть семьи, как ни странно. Что за бред придумывают там на верху? Оставьте всё как было. Хватит выносить могз людям, которые и так работают за деньги на дорогу до работы и обратно, за оплату счета ЖКХ и хлеб, спасибо, что ещё можем позволить себе с водой. Поднимите сначала престиж работы медсестры, обеспечьте ЗП чтоб;Низкая заработная плата врачей
Здравоохранение/Медицина;Белозёровой Ульяны Ивановны 26.07.2022 г.р. узкими специалистами. Ребёнку уже пошёл 4 месяц, ни к одному специалисту её не записали. Сегодня на плановом осмотре сослались на то, что не работает программа. Сказали опять ждать звонка. Прививки также не ставят, ни одной. Каждый раз что-то новое. Сегодня сказали из-за аллергии. Но лекарства от аллергии я можно сказать выпросила. Полный бардак! Культурно меня выставили из кабинета вызвав следующего пациента, ничего не объясняют, всё приходится вытягивать клещами. Приходим по факту взвеситься и измерить;★ Оказание медицинской помощи не в полном объеме/отказ в оказании медицинской помощи
Благоустройство;'На набережной не работают туалеты,;Отсутствие общественных туалетов
Благоустройство;Павлика Морозова в Орджо. районе. Движений;Предложение по благоустройству
Роспотребнадзор;И сколько не жаловались, бесполезно. Не знаю где уж он крысоловку нашёл, поймал и тоже приносил в ЖКО, жаль не стал отпускать. Березники Юбилейная 130, подвал затоплен, вонь невыносимая в подъезде;Обработка и уничтожение грызунов (дератизация)
Общественный транспорт;15. Разворот заасфальтирован,;Содержание остановок
Образование;в детском саду при условии, что в;Общее впечатление
Экономика и бизнес;А то до;Трудоустройство
Благоустройство;стоянке или на автобусной остановке на;Парки и зоны отдыха
Безопасность;вечером боюсь выходить на;Отлов безнадзорных собак и кошек
Общественный транспорт;проезд не хотите сделать....?;Неудовлетворительные условия проезда в транспорте на действующем маршруте
Дороги;машины за пределами;Организация парковок
Здравоохранение/Медицина;итоге, подросток ходит в школу, заражает детей.;★ Оказание медицинской помощи не в полном объеме/отказ в оказании медицинской помощи
Благоустройство;уже как 30 лет, Куйбышева яма на яме, чкалова одна сплошная колея и так почти каждая улица;★ Ямы во дворах
Благоустройство;Башкирская, Фруктовая и т.д.) не горят фонари, установлены новые зимой 2021-2022. Сейчас это так необходимо, такая темень, хоть глаз выколи, а дети возвращаются из школы с автобусов (школьного и 65).;★ Неисправные фонари освещения
Здравоохранение/Медицина;И когда появится в аптеках? Если муж хоть раз пропустит курс, у него начнутся приступы. Заранее спасибо за;Отсутствие лекарств в аптеках
ЖКХ;проведите проверку на танкистов 10 ,;Ненадлежащее содержание и эксплуатация МКД
ЖКХ;год вернее вторую зиму нет;Непригодные для проживания жилые помещения
Мусор/Свалки/ТКО;Весь мусор в одну кучу!;Раздельная сортировка отходов
Благоустройство;'А перед благоустройством опят срубят все деревья? Там же яблони, вот;Вырубка деревьев, кустарников
Мусор/Свалки/ТКО;у нас много маленьких детей проживает.;★ Отсутствие контейнерной площадки/Проезд к контейнерной площадке
Электроснабжение;сайтом не разобралась, пишу сюда. Упал столб с проводами,;★ Повреждение опор ЛЭП
Здравоохранение/Медицина;все слышали про повышение зарплат бюджетникам, в том числе и медработникам, но точной информации ни у кого нет. Скажите, пожалуйста, когда ждать этого повышения и на сколько повысят? Коснётся ли;Низкая заработная плата врачей
Мусор/Свалки/ТКО;обращались не ставят;Плата за вывоз ТКО
Безопасность;бездомными собаками?? За последние пять дней на меня два раза кидались,пришлось воспользоваться перцовым баллоном. За весь месяц раз пять на меня кидаются,да Ладно на меня,дети же ходят каждый день в школу и из;Отлов безнадзорных собак и кошек
Благоустройство;спуске разбита, так же её расширили, одна грязь!!! Берег изуродовали, в воде теперь ямы. И река стала еще уже!!! Последнее место для купания;Парки и зоны отдыха
Общественный транспорт;маршрут будет у 4?;Изменить или отменить маршрут
Дороги;в сторону проезжей части и создают аварийную ситуацию ?! Блоки эти находятся на подъёме по улице Балахнина от ул. Мира у гаражей. Я думаю сами найдёте ?! Почему всегда надо просить что бы кто то исправил, толку тогда от депутатов и администрации ?! Почему надо всегда делать;Необходима установка и замена дорожных ограждений
Благоустройство;в школу, в;Благоустройство придомовых территорий
Здравоохранение/Медицина;одного рабочего дня. Для детей месяц ждать - это очень долго. Микрофлора, бактерии. Уже можно назначать лекарства и помочь малышу, а мы ждём. Фролы, амблуатория. Заранее;Нехватка материально-технического обеспечения
Общественный транспорт;добарайтесь до кислотных дач???Как так последний рейс укороченный???Вот кто ответит за это??Разве;График движения общественного транспорта
Благоустройство;уже год. Там можно и ноги;★ Неисправные фонари освещения
ЖКХ;водопровод. Вся система уже ржавая. Будто бы в частном секторе живут;Плохое качество воды
Образование;науки Пермского края], Сделайте проверку инкогнето,;Содержание гос. образовательных организаций
Безопасность;города отметили, что по этому факту уже проводится проверка. Устанавливается, кто не досмотрел за этими животными.В конце 2021 года на 8-летнего ребёнка на Обвинской напала бездомная собака.Пострадавший получил;Отлов безнадзорных собак и кошек
Мусор/Свалки/ТКО;уже там, поставили бы контейнер;★ Стихийные свалки в городе/в парках/в лесу
Строительство и архитектура;как многие из них приезжие. Но ни одной квартиры за все время существования театра выделено не было. Хотя другие театры спокойно получают квартиры и размещают там приезжих артистов. Театр «У Моста» практически все доходы тратит на размещение артистов. Тоже самое с транспортом, обещали, но не купили.👉🏻 О том, зачем нужно новое помещение:– Помещение нам нужно для того, чтобы временно туда переехать и играть спектакли, а в нынешнем здании сделать полноценный ремонт для выполнения всех пожарных предписаний. Впоследствии, хотелось бы иметь один большой зал;Состояние зданий учреждений и организаций
ЖКХ;балкона и лоджии,больше 15;Неисправность выступающих конструкций: балконов, козырьков, эркеров, карнизов входных крылец и т. п.
Коронавирус;был подтвержден 5.02.?Спасибо.;Тесты на коронавирус
Строительство и архитектура;например Дом творчества для детей, или ещё что нибудь;Состояние зданий учреждений и организаций
Дороги;Или такими темпами по всей Перми;Организация парковок
Благоустройство;осторожны, проходя под опасной зоной!;★ Ненадлежащее содержание зеленых насаждений (газонов)/деревьев и кустарников
ЖКХ;нет нормального съезда в наши улицы? Здесь что не люди живут, мы налоги не платим??? У мостика от 2-ой Верховой сколько дней уже вода из трубы бежит???;★ Прорыв трубы/трубопровода
Мусор/Свалки/ТКО;Вам чистить не будут😜;Выброс мусора нарушителем
Здравоохранение/Медицина;по зарплатам у медработников ,я не могу работать за такие деньги;Социальная поддержка медперсонала
ЖКХ;реки по стенам;★ Протечки с кровли (системы водостока)
Строительство и архитектура;эксплуатацию этого здания??? Без организации благоустройства? Выделения парковочных мест? В том числе для;Строительство зданий
Дороги;знак , очень сильно наклоняется;Содержание дорожных знаков/Установка новых дорожных знаков, с внесением в схему дислокации, замена старых знаков на новые
Мусор/Свалки/ТКО;и потребления, согласно ст.46, №29-15 от 31.10.2007г, складирование по группам и классам опасности., чтобы утилизировать их максимально безопасно для людей и окружающей среды.Места складирования строительного мусора также должны быть оборудованы так, чтобы не наносить вред людям и окружающей среде, что также не соблюдено.На протяжении 2 недель мы не можем открыть окна, т.к. очень много строительной пыли при выкидывании летит в окна, дома нечем дышать, а это вред здоровью, сказывается на легких, также загрязняется мебель в доме, дополнительная стрика и уборка, что влечет финансовые расходы с нашей стороны. Люди, что проходят мимо, также все в пыли и грязи. В обеденное время и сон час для детей, они вздрагивают от грохота, что может повлечь заикание ребенка и нервный тик во время резкого пробуждения от резких и громких звуков.С нашей стороны строительный мусор закончился и разбор дошел уже больше;Выброс мусора нарушителем
Дороги;возможно выйти с коляской! Двор почистили;★ Нарушение правил очистки дорог от снега и наледи/Обращения о необходимости очистить тротуар от снега и наледи
Дороги;выпадает из списка???;Ямы и выбоины на дороге
Социальное обслуживание и защита;но и на эту сумму не прожить. Когда государство возьмет под свой контроль ценообразование? Все, торговля, ЖКХ, различные производства бесконечно поднимают цены. Без основания. Или есть такая цель - пенсионеров;Пенсионеры и ветераны
Электроснабжение;с сайтом не разобралась, пишу сюда.;★ Повреждение опор ЛЭП
Благоустройство;дерева. Не возможно открыть ни окна, ни балкон. Всё это;Вырубка деревьев, кустарников
Экономика и бизнес;рубля. И вы говорите, что цены;Цены и ценообразование
Дороги;полицейский на дороге возле двора ул. Маяковского, 48?;Предложить установку нового лежачего полицейского (ИДН)
Образование;какому праву кассина решила, что учителя могут регистрировать детей;Образовательный процесс
Здравоохранение/Медицина;участковые медсестры нет. Почему так? Ведь;Социальная поддержка медперсонала
ЖКХ;а за него платим по;Ненадлежащее качество или отсутствие отопления
Связь и телевидение;шум в городе?;★ Информационно-техническая поддержка
ЖКХ;и ЖКХ ни как не желает решить;Другие проблемы с общедомовой системой водоотведения (канализации)
Социальное обслуживание и защита;в семье воспитывается ребенок инвалид?;Инвалиды
Образование;реально ни садиков не хватает, ни школ в нашем районе. Раньше от Электроприборного завода было то ли 10 садиков, то ли 11, уже не помню. Так закрыли почти все, оставшиеся передали;Строительство школ, детских садов
Образование;"""Архитектура"" проводится по идеалам 2 курса обучения в колледже. Каким образом ученик 9-11 класса должен";ВУЗы и ССУЗы
Роспотребнадзор;обработку провели в подвале.И в квартире что-то предпринять,чтоб не бегали.У нас вобще;Обработка и уничтожение грызунов (дератизация)
ЖКХ;соседи делают ремонт,;Перепланировка и реконструкция помещений
Коронавирус;отвечает, целый день пыталась дозвониться,;Проблемы в работе горячих линий
Общественный транспорт;проигнорировав положенную остановку ГОСТ номер прикрепляю .;Некорректное поведение водительского состава
Благоустройство;по центральной улице,но увидеть представление;Благоустройство общественного пространства (парк, сквер, пешеходная зона, бульвар, набережная, центральная улица или площадь)
Электроснабжение;с проводами, обесточены или нет- не известно. г.Пермь, Кировский район ул.Кировоградская (около;★ Повреждение опор ЛЭП
ЖКХ;ответ не поступил. На неоднократные обращения по телефону, результатов нет. Просьба оказать;Жалобы на управляющие компании
Общественный транспорт;срочно вернуть! Вся транспортная реформа, это большая ошибка!;Изменить или отменить маршрут
Дороги;горят уличные фонари вторую неделю?;Освещение неисправно или отсутствует
Благоустройство;"в городе- не только эстетика....на улице Фестивальная у дома 4, таковое является ""убежищем"" мальчишек. Проковыряли дыру в кирпичной стене, чтобы свободно туда проникать.Что они там делают, что могут";Ненадлежащее состояние фасадов нежилых зданий, объектов и ограждений
Социальное обслуживание и защита;"'А памперсы инвалидам как ,, поставляют""....Тоже";Создание доступной среды для инвалидов
Благоустройство;'Скажите, можно ли у нас ездить по реке Лысьва на моторных лодках?;Парки и зоны отдыха
Здравоохранение/Медицина;возобновят дни здорового;Диспансеризация
Образование;классный руководитель и сказала, что стипендию отменили для тех, кто учиться платно. это правомерно? лично я ничего в интернете этого не нашла..как;Выплаты стипендий
Социальное обслуживание и защита;2017 года? На каком этапе;Аварийное жилье/переселение
Здравоохранение/Медицина;пережил большой стресс. И тут такое ставят на учёт. Тут помогать надо именно;Ошибки врачей, халатность
Благоустройство;устранению данной проблемы?;★ Парковка на газонах
Здравоохранение/Медицина;'Ехать через весь город? В нашей амбулатории диспансеризацию не пройдёшь.;Диспансеризация
Мусор/Свалки/ТКО;а пакет может разорваться;Проблемы с контейнерами
Образование;Подскажите пожалуйста, если у ученика школы средний балл;Образовательный процесс
Здравоохранение/Медицина;день! Хотелось бы узнать какие планы по поводу кабинета хирурга в Яйве?;Предложения по созданию лечебных центров
ЖКХ;же проблема с грибком ,, живу на 3 этаже стены;Ненадлежащее содержание и эксплуатация МКД
Социальное обслуживание и защита;слетела,и оказывается доп.списков на эту выплату нет,как так в феврале говорили есть,а в марте уже нет. Ждите теперь в апреле. Я мать одиночка,как мне теперь жить? Второй месяц занимаются отговорками.Вот такие у;Задержка выплат гражданам
Экология;так далеко не самое приятное место города, так ещё;Выбросы вредных веществ в атмосферу/загрязнение воздуха
Экономика и бизнес;сих пор нет.;Трудоустройство
Мусор/Свалки/ТКО;кто изготавливает площадки для сбора;Строительство объектов по обращению с отходами
ЖКХ;правильно- у нас же не Москва;Завышение платы за коммунальные услуги
Дороги;перекрёстка. Знаков нет! Для пешеходов абсолютно ничего! Машины едут;Содержание дорожных знаков/Установка новых дорожных знаков, с внесением в схему дислокации, замена старых знаков на новые
Дороги;мини-рынком у Кита несколько лет не приводят в нормальное состояние. Ямы и лужи там постоянно глубокие. Решили. Сказали что этот участок никому не;Ямы и выбоины на дороге
Здравоохранение/Медицина;размер пологающихся выплат?;Социальная поддержка медперсонала
Социальное обслуживание и защита;районных центрах не планируете?;Занятость и трудоустройство
Социальное обслуживание и защита;есть в нашем городе вакансии;Занятость и трудоустройство
ЖКХ;у мусоропроводов,а теперь еще у кого то унитаз сломался,видимо решили,что;Ненадлежащая уборка подъездов и лифтов
Благоустройство;какие водные процедуры от машин после дождя!!! А лопухи какие, а ограждения из старых кроватей!! Любуемся ежедневно!! Пять;★ Ямы во дворах
Благоустройство;'Ага. Пересаживайтесь на общественный транспорт.. Так почистили дороги что ни к автобусу ни из него не выйти. Такой сугроб накидали. Либо выпадываешь в него,;★ Нарушение правил уборки и вывоза загрязненного снега и наледи на газоне
Экология;Будут речку и пруд чистить?;Выбросы вредных веществ в водоёмы/загрязнение водоёмов
Дороги;никогда там разъезжаться не Куда.;Пробки
Благоустройство;частью и почему не предпринимается никаких мер по устранению данной;★ Парковка на газонах
Социальное обслуживание и защита;соцзащиты к Дню инвалидов или;Инвалиды
Мусор/Свалки/ТКО;'Здравствуйте!когда в Перми будет завод;Строительство объектов по обращению с отходами
Безопасность;4?КАЖДЫЙ ДЕНЬ КАКИЕ ТО ГУЛЯНКИ , МУЗЫКА ОРЕТ ДО ПОЗДНЕГО ВЕЧЕРА.ПОКОЯ;Безопасность общественных пространств
Мусор/Свалки/ТКО;по переработке мусора?;Строительство объектов по обращению с отходами
ЖКХ;чайнике накипь образуется, чаще чем обычно.;Плохое качество воды
Здравоохранение/Медицина;отправляют в с. ФОКИ. А это совсем не рядом.Такая же ситуация была в 19 году?;Нехватка материально-технического обеспечения
Образование;'Здравствуйте! Подскажите пожалуйста.Вопрос: проходили в школах пробные ОГЭ. Ребятам;ЕГЭ, ОГЭ
ЖКХ;снижению платежей по ЖКХ;Завышение платы за коммунальные услуги
Дороги;51 и Чердынская,29.  Сделайте, пожалуйста, пешеходные дорожки, так как зимой по дороге;Предложение дороги в план ремонта
Дороги;мостику со стороны Орджоникидзе;Ремонт/строительство мостов
Дороги;собираетесь строить до 2026го...;Предложение дороги в план ремонта
Образование;ли объединять две группы в детском саду при;Общее впечатление
Социальное обслуживание и защита;куда я могу сообщить по поводу;Социальные учреждения
