Группа тем;Текст инцидента;Тема
Здравоохранение/Медицина;декабря!!! А это значит, что они явно не только на моём этаже, что очень печалит. Взрослые убедительная;Содержание больниц
Мусор/Свалки/ТКО;площадки напротив дома;Раздельная сортировка отходов
Мусор/Свалки/ТКО;перерасчет не сделан также? Хочу пообщаться с сотрудником, который компетентен и в;Плата за вывоз ТКО
Здравоохранение/Медицина;собой коррелируются фармацевтика;Отсутствие аптек
Благоустройство;на ремонте а куда идти после;Отсутствие общественных туалетов
Коронавирус;мы поставили сами. Тест не берут, лечение не;Жалобы на врачей
Благоустройство;должны этот снег;★ Нарушение правил уборки и вывоза загрязненного снега и наледи на газоне
ЖКХ;в этот момент. А УК;Неисправность выступающих конструкций: балконов, козырьков, эркеров, карнизов входных крылец и т. п.
ЖКХ;56 отключили электричество, хотя в списке;Отсутствие электричества
Дороги;ул. Чердынская автобусы устраивают стоянку от ост. Чердынская до пешеходного перехода у магазина Семья, занимают всю левую полосу,;Организация парковок
Здравоохранение/Медицина;города Перми. На конверте достаточно указать почтовый адрес или помимо;Ошибки врачей, халатность
Образование;'[id382218893|Стас], а почему только с 5 класса тогда .;Питание
Здравоохранение/Медицина;вопросам льготного лекарства;Льготные лекарства
Образование;и ему сказали, что апостиль можно сделать только из Москвы. Я не понимаю, ведь на этот день у меня была записана встреча в Министерстве образования. Я хотел бы;ВУЗы и ССУЗы
ЖКХ;стенам бежит вода;Залитие квартиры
Дороги;брызг с проезжей части в дождь и автомобилей в целях безопасности, на новой остановке нет. Каким нормативным актом;Необходима установка и замена дорожных ограждений
Физическая культура и спорт;Парковом построили. Вот;Строительство спортивной инфраструктуры
Благоустройство;восстановить перекопанные дороги, снесённые тротуары. И еще не один;Нарушение правил проведения земляных работ
Дороги;нормальный переход чапаева федосеева;Организация переходов, светофоров/Изменить организацию движения
Благоустройство;обещано произвести работы с восстановлением благоустройства до 24 июня. Одна яма зарыта не до;Нарушение правил проведения земляных работ
Социальное обслуживание и защита;на одно количество, а выдают на;Улучшение жилищных условий
Образование;'Добрый вечер скажите пожалуйста ещё будет смена;Детские оздоровительные лагеря
Благоустройство;'Добрый вечер, я насчёт много парков и скверов,;Парки и зоны отдыха
Благоустройство;лето. Демонтаж был осуществлён, шлагбаума не было, но по состоянию на 23.08.2022, шлагбаум вновь установлен собственниками;Самовольная установка ограждений на территории общего пользования
Здравоохранение/Медицина;назначили, но врач так и не пришел. 4 февраля снова уточнила почему не было врача, мне ответили, что вызов;★ Скорая помощь
ЖКХ;Толбухина 2/5 третьи сутки не горячей воды, ПАО «Т Плюс» сказали, что сеть бесхозная и обращаться в администрацию! Решите нашу проблему!!! Мы;Отсутствие горячей воды
ЖКХ;Набережная, 19. Обращались;Ремонт подъездов
Здравоохранение/Медицина;были теперь нет. Теперь отделение орви;Нехватка или сокращение врачей и медицинских учреждений
Экономика и бизнес;по своей специальности, в данный момент я на очном обучении. Но администрация техникума принципиально не даëт согласие на это, что делать;Трудоустройство
Памятники и объекты культурного наследия;указано в документации Заказчика, с удивительным постоянством показывает точное время только два раза в день. Всё остальное время, часы идут в произвольном порядке.'];Памятники и объекты культурного наследия
ЖКХ;16 тыс с требованием заплатить всё сразу.Плачу;Сборы за капитальный ремонт
Здравоохранение/Медицина;подать жалобу на приём;Ошибки врачей, халатность
ЖКХ;Плеханова залило горячей;★ Прорыв трубы/трубопровода
Роспотребнадзор;мусора, горы, особенно около Магазины,;Обработка и уничтожение грызунов (дератизация)
Мусор/Свалки/ТКО;наткнутся,, чего ждем?;★ Уборка/Вывоз мусора
Дороги;,света нет,Услышьте Власти города Перми,до 2023 года можно как по обезопасить людей от травм,пол скользкий люди травмируются, пройдите сами;Организация переходов, светофоров/Изменить организацию движения
Дороги;'Не прошло и суток с момента ремонта моста во;Ремонт/строительство мостов
Благоустройство;управляющей компании не дозвониться Ни проезжая часть не почищена ни пешеходная Терпения нет и не будет И ждать тоже не Хочу и звонить куда то в другое место больше так как там трубку просто не берут Скорая помощь не проедет даже Я за что плачу деньги Комунальные услуги не дешёвые,налоги тоже с зарплаты не маленькие Пусть;★ Нарушение правил уборки внутридворового проезда, пешеходной дорожки
Здравоохранение/Медицина;что у нас в разделе полномочий ?Ничего ?А;Отсутствие аптек
Дороги;в одну минуту. Пыль не успевает оседать. Люди, проживающие у главной дороги задыхаются от пыли. Я с болью наблюдал как идут мамы с калясками. Дети задыхаются!У меня дом на главной, пыльной дороге. Скоро переезжаем туда жить.Поэтому, от лица всех жителей улицы Мира и от себя лично я прошу администрацию города изыскать средства и заасфальтировать дорогу длиной около одного километра: начиная в равнинной части от Тарасова переулка, вдоль поймы реки Кынок— до центра.С;★ Несоблюдение правил уборки проезжей части
Физическая культура и спорт;Льва Шатрова 4 и 6? Помню;Строительство спортивной инфраструктуры
Социальное обслуживание и защита;выплаты положены матери одиночке на;Матери-одиночки, подростки
Дороги;- уберите забор и устраните опасность.Хватит;Несанкционированное ограничение движения, помехи движению, захват земли в полосе отвода автодорог
Памятники и объекты культурного наследия;остается. Чего вам не хватает в этом названии? Благодаря этой великой Победе, жива Россия. жива Губаха и у нас есть этот сквер. Не было бы этой Победы- не было бы мира, и поколений тоже не было бы. Я считаю, что мы просто морального права не имеем отказаться от этого главного названия. В Губахе много мест , где можно разбить и сквер Мира и сквер Поколений, НО СКВЕР ПОБЕДЫ ДОЛЖЕН ОСТАТЬСЯ СКВЕРОМ;Памятники и объекты культурного наследия
Образование;oпpeдeлeнный caдик , или пpocтo нa любoй?И когда документы подавать на продление пособий по уходу до 1,5 лет и путинские. В год, или;Устройство в ДОУ
Благоустройство;есть упр.компания? Пусть там;Благоустройство придомовых территорий
Торговля;из СНГ торгуют каждый день на;★ Нестационарная торговля (киоски, павильоны, сезонная торговля)
Образование;'Почему в по периметру школ нет такого оборудования?! Каждый год гибнуть;Безопасность образовательного процесса
Здравоохранение/Медицина;был с номера 215-06-56.Разберитесь,;Льготные лекарства
Благоустройство;пешем тротуаре по сей день (11.07) ,;★ Нарушение правил уборки и вывоза порубочных остатков
Строительство и архитектура;этот дом, а теперь выход;Состояние зданий учреждений и организаций
Образование;информацию о вакансиях преподавателя английского языка в Пермском крае с;Социальная поддержка учителей
Дороги;не установили знак. Можно оборвать подвеску, даже;Содержание дорожных знаков/Установка новых дорожных знаков, с внесением в схему дислокации, замена старых знаков на новые
Дороги;обратиться по поводу освещения;Освещение неисправно или отсутствует
Коронавирус;18, лучше бы закрыли все учебные;Самоизоляция и карантин
Здравоохранение/Медицина;построили хорошую, большую амбулатория. Очень;Нехватка материально-технического обеспечения
Торговля;киоски, их все снесли типа не нужны;★ Нестационарная торговля (киоски, павильоны, сезонная торговля)
Социальное обслуживание и защита;увеличение количества рабочих;Социальные учреждения
Погребение и похоронное дело;будет заниматься содержанием кладбищ в;Погребение и похоронное дело
Дороги;иногда не знают как перейти дорогогу. 🤷‍♀️;Работа светофора (установка, изменение режима работы, оборудование кнопкой вызова)
Благоустройство;этот снег не;★ Нарушение правил уборки и вывоза загрязненного снега и наледи на газоне
Благоустройство;🤔🤔🤔 Везде грязь и мусор на обочинах, особенно в запруде. Коммунальные службы за;★ Нарушение правил уборки внутридворового проезда, пешеходной дорожки
Образование;можно получить информацию о;Социальная поддержка учителей
Дороги;переход охраняли два лежачих полицейских. На зимний период сняли. Но обратно не;Предложить установку нового лежачего полицейского (ИДН)
Памятники и объекты культурного наследия;МоторостроителямВ сквере Авиаторов в Перми неизвестные пытались разрушить памятник Моторостроителям. Об этом сообщают местные;Памятники и объекты культурного наследия
Дороги;наконец доделают мост во;Ремонт/строительство мостов
Благоустройство;"""завалят"" стройматериалами, как у соседних МКД (пр. Ленина,";Уборка территорий
Дороги;с этм я согласно. Есть правила и их надо выполнять. А еще надо навести порядок с движением машин с троуаров на тротуар по;Организация парковок
Коронавирус;Я очень переживаю за своего ребенка. Вы можете гарантировать безопасность этой вакцины;Порядок и пункты вакцинации
Здравоохранение/Медицина;в больнице нет.;Вакцинация
Газ и топливо;будет отапливать жильё.;Сроки газификации
Экономика и бизнес;вакансии терапевта по программе земский врач и плюс дополнит выплата в;Трудоустройство
Образование;путёвку в санаторий в лагерь совсем не получить? У;Детские оздоровительные лагеря
Социальное обслуживание и защита;справки что моё;Аварийное жилье/переселение
ЖКХ;работал 17 часов !ЗУЛ;Лифт неисправен или отключен
Благоустройство;к коттеджу и соответственно все платежи насчитывают;Ненадлежащее состояние фасадов нежилых зданий, объектов и ограждений
Образование;как выросли цены?;Зарплата учителей
Благоустройство;доме номер 34,по улице Ленина, проживает 4 многодетных семьи, во дворе дома;★ Ненадлежащее состояние игровых элементов на детской или спортивной площадке
ЖКХ;по 12 апреля , лифт в;Лифт неисправен или отключен
Экология;в районе гипермаркета Семья. Повторяется раз;Выбросы вредных веществ в атмосферу/загрязнение воздуха
Образование;себе дать третьеклассник?;Дистанционное образование
Физическая культура и спорт;Здравствуйте. В 2021 году регистрировала сына на участие в Пермском марафоне, платила 600 руб. Но его отменили,;Спортивные мероприятия
Общественный транспорт;не доделана совсем, камни и рытвины! Женщина с ребенком упали;Содержание остановок
Социальное обслуживание и защита;Уренгой. Сейчас все лето нахолимся у бабушек в г. Лысьва. И столкнулись с проблемой оформления данного документа. Педиатр нас заверил, что на территории;Создание доступной среды для инвалидов
Общественный транспорт;оплату и выбор тарифа невозможен, вы зачем;Проблемы с социальными картами или проездными документами
Дороги;въезд,по другой выезд..;Содержание дорожных знаков/Установка новых дорожных знаков, с внесением в схему дислокации, замена старых знаков на новые
Социальное обслуживание и защита;пришла. Пономарева Александра Андреевна, 89922120378,;Задержка выплат гражданам
Благоустройство;рынке нет лавочек???;★ Отсутствие урн, лавочек в общественных местах и дворовой территории
Коронавирус;на другой день только пришла неотложка ито после постоянных звонков! Мазок сейчас сказали;Тесты на коронавирус
Благоустройство;'Пишем и просим,вложены федеральные деньги-надо просто СОДЕРЖАТЬ И;Парки и зоны отдыха
Благоустройство;'До тротуаров когда очередь дойдёт? Например,;Разрушение тротуаров и пешеходных дорожек
ЖКХ;грязной воды извините я не милионер чтобы производить;Плохое качество воды
Благоустройство;ни пожарная машина подьехать к 35-му дому;★ Нарушение правил уборки от снега и наледи территории парка и сквера
ЖКХ;вернуть деньги за кап.ремонт;Сборы за капитальный ремонт
Дороги;та же история, на героев хасана то же самое...а ведь эте дороги совсем;Некачественно выполненный ремонт дорог
Здравоохранение/Медицина;могут получать эти же молочные продукты, нам приходится это все покупать. Если у нас нет молочной кухни, почему нет другой альтернативы. Или на перефирию не;★ Питание в медицинских учреждениях
Социальное обслуживание и защита;предлагают, нас не устраивает.Нам очень;Оказание гос. соц. помощи
Мусор/Свалки/ТКО;кому то бывает;Выброс мусора нарушителем
Образование;до тех пор, пока;Кадровые перестановки
ЖКХ;'Федосеева 3 горячая вода воняет.;Плохое качество воды
ЖКХ;день,подскажте ,пожалуйста , ИГЖН Пермского края кто ( ф.и.о. должность) выписывает и проверяет за исполнение предписанием ИГЖН Пермского края ? Почему этого не делаеться;Жалобы на управляющие компании
ЖКХ;начисления были неверными.1. С момента введения платы за кап.ремонт квитанции выставлялись неверно, только на одного собственника, вместо двух, но на всю площадь квартиры. Т.е. льгота в размере 50 % как собственнику старше 70 лет начислялась только на 50 % площади жилья (т.е. на 23 кв.м.). За вторую половину оплачивалась полная сумма. Получается, что за кап. ремонт идет большая переплата за несколько лет (оплачено в 2 раза больше).2. Почему к оплате выставляется сумма 113.72р.и 325.96р. за июль;Сборы за капитальный ремонт
Здравоохранение/Медицина;женщины, в непогоду,тащатся с колясками;Предложения по созданию лечебных центров
Безопасность;"- напротив ""Энергетика"" на пешеходной дорожке остались";Безопасность общественных пространств
Коронавирус;не идут, чтобы назначить лечение. Сегодня сказали идти самим в ковид центр. Я с температурой лежу. .. Вот и кому идти.Скажите,;Жалобы на врачей
Благоустройство;для спортивной площадки! Вспомните, как это было! Сейчас от спортивной площадки ничего не осталось! Зачем им сейчас освещаемый тротуар? Пусть сдвинуть забор,.. вдоль;Самовольная установка ограждений на территории общего пользования
ЖКХ;проходит,а про ремонты и говорить;Ненадлежащая уборка подъездов и лифтов
Здравоохранение/Медицина;Прилагаю медицинские документы.;★ Просьбы о лечении
Благоустройство;по ул. Свердлова из-за гравия и пыли, которую поднимают проезжающие машины ходить невозможно. По гравию можно ходить только в зимних галошах с;Обустройство асфальтового покрытия парковки, внутридворового проезда, тротуара, пешеходной дорожки, въезда во двор
ЖКХ;ул. Уральская, 93, г. Пермь надпись;★ Несанкционированные надписи, рисунки, реклама на фасаде МКД
Дороги;это метро, когда электричка 3;Пробки
Дороги;показывали в новостях,что на Мотовидихинском мосту сняли;Ремонт/строительство мостов
Мусор/Свалки/ТКО;контейнер для пластика у контейнерной площадки напротив;Раздельная сортировка отходов
Благоустройство;на него рассчитывали — построили новые дома рядом. Но это просто проезд из земли, не асфальтированный с огромными ямами и весной и летом с грязью и лужами, иногда вся дорога — это грязное болото. Очень нужна эта дорога от дома. Сейчас там построили два новых дома и мы уже не одни такие, которым приходится ездить только через базы. Если от нас нужны какие-то доп. данные, пожалуйста напишите.;Установка ограждений, препятствующих въезду на тротуар, газон на дворовой территории МКД
Социальное обслуживание и защита;сертификат по молодой семье? А то очередь каждый раз идёт назад;Улучшение жилищных условий
Дороги;из-за неисправной ливневкиСтоит в;Ливневые канализации (строительство и реконструкция)
Коронавирус;"на COVID19, 24 числа пришел результат с пометкой ""Обнаружено"", 23 числа приехали врачи, послушали и выдали лекарства. Сказали чтобы 3 числа пришел на прием к врачу в поликлинику, если будет анализ отрицательный, а если будет положительный оставаться дома и ждать врачей.Так вот, вопрос, как я пойму какой у меня анализ, если его не кто не брал?Вчера звонил в поликлинику, сделал вызов врача на дом, но не кто не приехал и не кто не позвонил.Что мне делать? Ждать врача, или ехать";Коронавирус
Роспотребнадзор;Во неописуемо дающий крысы бегают. Везде мусора, горы, особенно;Обработка и уничтожение грызунов (дератизация)
Дороги;ямы , пожалуйста!;Ямы и выбоины на дороге
Здравоохранение/Медицина;всей этой идиотской системе больше всего жалко медиков которые вынуждены работать в таких условиях, а они ведь;Очередь
Общественный транспорт;минтранс, порекомендовали обратиться к вам. Подскажите, пожалуйста,меня интересует перевозка детей маршрутом Оханск-Очер. До 26 марта детей нашей школы, проживающих в интернате, возили в школу по талонам, сейчас нам в этой услуге отказано, потому как после аукциона изменилось что-то в финансовой части. с кем и;Льготы на проезд и тарифы
Социальное обслуживание и защита;какие выплаты положены матери одиночке на ребенка до 18 лет или только;Матери-одиночки, подростки
ЖКХ;по комнате, г. Пермь, ул. Черняховского, 72а.Написал на меня заявление,;Перепланировка и реконструкция помещений
Мусор/Свалки/ТКО;на Мира 20 новая контейнерная площадка.Старшая;★ Отсутствие контейнерной площадки/Проезд к контейнерной площадке
Общественный транспорт;даже не шевельнуться, а вылезти из задней части... Это уже квест.Ездят они примерно;Изменение класса и количества автобусов
ЖКХ;дом и бросили.Мусор почти год лежит.Я так считаю,что не нужно платить за капремонт.Что вы делаете? Да ничего.Сколько лет стоят дома без капремонта?Фонд,это фонд.И не;Некачественный капитальный ремонт
Благоустройство;по адресу вижайская 10 детская площадка;★ Ненадлежащее состояние игровых элементов на детской или спортивной площадке
Благоустройство;2021 году по проекту должны были ремонтировать по улице Газовиков, д. 12, 18, 17. , на;Обустройство асфальтового покрытия парковки, внутридворового проезда, тротуара, пешеходной дорожки, въезда во двор
Коронавирус;Много болеют до 18, лучше бы закрыли все учебные заведения.;Самоизоляция и карантин
Общественный транспорт;вот и мечешся куда;Неудовлетворительные условия проезда в транспорте на действующем маршруте
Торговля;закрывает окна на первом этаже и площадку выхода при пожаре.Или как в ЗИМНЕЙ ВИШНИ пока не;★ Нестационарная торговля (киоски, павильоны, сезонная торговля)
Благоустройство;тротуар вокруг колодца;Разрушение тротуаров и пешеходных дорожек
Роспотребнадзор;общежитием ПККИиК, и контейнерами с мусором. Масса крыс!;Санитарно-эпидемиологическое благополучие
Благоустройство;'[club80949945|Администрация города Лысьвы], быстрых 20, у вас же;Отсутствие фонарей освещения
Социальное обслуживание и защита;Пермь, Мотовилих. р-н;Оказание гос. соц. помощи
Образование;турах, конкурсах. Как они;Дополнительное образование
Благоустройство;везде кидают мусор. И ещё хотелось бы ещё добавить лавочек для взрослых и;★ Отсутствие урн, лавочек в общественных местах и дворовой территории
Мусор/Свалки/ТКО;Куда обращаться? в полиции ничего;Выброс мусора нарушителем
Образование;в изолятор где стоят двери и что бы попросить таблетку или сказать что ему плохо надо стучать в дверь, врачи могут подойти только спустя 20-30 минут, говорят что у них тоже есть своя работа или;Общее впечатление
ЖКХ;Хотелось бы узнать, если Вы владеете такой информацией, насколько отключили свет;Отсутствие электричества
Дороги;'Пермь г, +79822543100. Добрый день. Хотелось бы попросить помощи;Ремонт/строительство мостов
Социальное обслуживание и защита;подростков расклеивание листовок?;Занятость и трудоустройство
Здравоохранение/Медицина;с фельдшером не выпадывают. Она у нас;★ Скорая помощь
Образование;"появился в расписании какой-то курс ""уроки о важном"".Он является предметом или это доп. Образование (факультатив)?Что включает данный курс?Где";Образовательный процесс
Социальное обслуживание и защита;этого дома уже дали квартиры. Как быть?Приходится снимать жильё и;Аварийное жилье/переселение
Социальное обслуживание и защита;"в области работы и поддержки ветеранских организаций? или у вас кто с кем ""дружит"" тот с тем";Пенсионеры и ветераны
Образование;только для учителей?;Социальная поддержка учителей
Здравоохранение/Медицина;"этот туалет, на нас накинулись две сотрудницы (я так понимаю это младший персонал), кричали, что это туалет для сотрудников, идите на первый! Я говорю: ""можно дочь сходит сюда, она ничего не сделает"", но они продолжали ругаться на нас, на что я ответила, что на 1 этаже ужасный туалет, и не мешало бы последить за его состоянием. Я вот не мойму, в чем проблема привести в порядок туалет для пациентов, запах ужасный, грязь, ободок хотя бы сделайте. Как с детьми вообще туда можно";Содержание больниц
Коронавирус;18, лучше бы закрыли все учебные заведения.;Самоизоляция и карантин
Благоустройство;60см высотой?Место для;★ Нарушение правил уборки от снега и наледи внутридворового проезда, тротуара, площади
Дороги;они вывозят,но только не с Тихого Компроса!?;★ Нарушение правил очистки дорог от снега и наледи/Обращения о необходимости очистить тротуар от снега и наледи
