Группа тем;Текст инцидента;Тема
Общественный транспорт;"Губахи в 9:30, пожилой мужчина, лет за 60, зашёл в автобус на остановке ""Школьная"", и слегка топнул ногами внутри салона транспортного средства.Кондуктор в эту же секунду начала на него орать, обращаясь к мужчине грубо и на «ты». Мужчина не ожидал такого от рабочего персонала автобуса.После этого, одна из женщин в автобусе решила вступиться за пожилого мужчину, сделав замечание кондуктору, после чего кондуктор и водитель начали орать на эту женщину как ""резаные свиньи""!Даже стало противно и не комфортно находиться в транспорте.Они орали на женщину всю дорогу, она пыталась им что-то ответить, но они её перебивали, и орали ещё громче, а водитель вообще почти не смотрел на дорогу, потому что был занят извержением отвратительного крика из своего рта!И";Некорректное поведение водительского состава
Торговля;;★ Нестационарная торговля (киоски, павильоны, сезонная торговля)
Строительство и архитектура;не самое доступное место для спортивных мероприятий для всех (футбол, скандинавская ходьба, лыжи, бег) , не говоря уже о;Строительство зданий
Благоустройство;выезжает одна или несколько машин... Кругового движения нет) , 2 вопрос, люди парковались и будут парковаться около дома 63 и 61а, после 9 подъезда где? Поставили бордюры . Почему их нельзя положить как около 55 дома во дворе..? И хотелось бы посмотреть на проект и выполнение соблюдения;Обустройство асфальтового покрытия парковки, внутридворового проезда, тротуара, пешеходной дорожки, въезда во двор
Мусор/Свалки/ТКО;';Плата за вывоз ТКО
Мусор/Свалки/ТКО;не обнаглели? Свалка по улице Войкова перед мостом. Нравится;Выброс мусора нарушителем
Социальное обслуживание и защита;до соцзащиты кировского района город Пермь?;Социальные учреждения
Дороги;'Хлебозаводская;Ямы и выбоины на дороге
Здравоохранение/Медицина;вызывала, дозвонилась с 19 раза, после снова звонила т.к. никто не ехал 4 часа уже.. Во второй раз дозвонилась с 75 раза!Все операторы заняты были... Не было;★ Скорая помощь
Дороги;сделали наземный;Организация переходов, светофоров/Изменить организацию движения
Социальное обслуживание и защита;семью из 4х человек на 10%, мы;Улучшение жилищных условий
Экология;"""художеств"" указатели, это видно было. Но у болота будто нет хозяина, нет куратора, кто мог бы облагородить это УНИКАЛЬНОЕ МЕСТО ГНЕЗДОВАНИЯ КРЯКВЫ; там лучше не становится - уток меньше, грязи больше. Ведь большинству приходящих нет дела ни до уток, ни";Выбросы вредных веществ в водоёмы/загрязнение водоёмов
Социальное обслуживание и защита;не берут.;Социальные учреждения
Образование;досуга для жителей, пенсионеров ....Вывести из подвалов детские клубы... Но нет.. Никто и никогда не советуется с жителями города,которые;Содержание гос. образовательных организаций
Экология;сегодня вонь;Выбросы вредных веществ в атмосферу/загрязнение воздуха
Мобилизация;в Херсонской области. Так вот;Зарплата, компенсации, поощрения, выплаты
Строительство и архитектура;"целях - ""здание"" необходимо убрать (разобрать)👆 ✒Более того, нарушены эстетические требования";Архитектура города
Дороги;там поставили, столько лет ездили;Несанкционированное ограничение движения, помехи движению, захват земли в полосе отвода автодорог
Общественный транспорт;'[club183771914|Александровск Официально], поясните ситуацию с рейсом Ж/д Вокзал- Новая,почему сообщают;График движения общественного транспорта
Дороги;Балахнина от Чапаева до Шмидта начнутся в июне. Уже середина июля, ремонт;Нарушение технологии и (или) сроков производства работ
Социальное обслуживание и защита;подскажите пожалуйста в каких числах;Задержка выплат гражданам
Мобилизация;кредитные каникулыПрям;Поддержка семей мобилизованных
ЖКХ;40а уже пол года лифт не работает, дак вот эти пол года, наша администрация всё решает и решает, никаких действий не принимают, надо действительно Махонину писать;Лифт неисправен или отключен
Здравоохранение/Медицина;не будут,сидят только кошельки свои набивают.Отношения во всех больницах хамское,не хотят даже разговаривать по;Хамство медицинских работников
Образование;Подскажите выделяет ли государство или край,;Социальная поддержка учителей
Благоустройство;между ул. Нефтяников и Мира, с обеих сторон;Вырубка деревьев, кустарников
Здравоохранение/Медицина;месяцев не работает аппарат флюорографии? Сегодня опять пытался пройти обследование и опять медработники предлагают ехать в п. Яйва. На мой вопрос, а как организована доставка людей в соседний поселок,;Нехватка материально-технического обеспечения
ЖКХ;'Здравствуйте Подскажите пожайлуста когда будет горячая вода по;Отсутствие горячей воды
Дороги;района не уследила за тем, что бы асфальт сделали добросовестно и качественно, с трубами под ними, а не просто тяп-ляп? P.S- Если;Некачественно выполненный ремонт дорог
Газ и топливо;'Газификация д. Куземьярово;Сроки газификации
Здравоохранение/Медицина;'Здравствуйте. Я хотела бы узнать насчет земская медсестра. У нас в пермском крае есть такая;Социальная поддержка медперсонала
ЖКХ;за все ,за обслуживание ,в итоге техничку ни разу не видели,хотя она типо убирает...в подъездах вообще не убирают,..звонили в;Ненадлежащая уборка подъездов и лифтов
Дороги;от Чапаева до Шмидта начнутся в;Нарушение технологии и (или) сроков производства работ
Здравоохранение/Медицина;не говорил, а ее соседки частично удалили грудь ( тоже онкология) и сейчас соседке оформляют;★ Просьбы о лечении
Общественный транспорт;как в фильме ужасов, печки не работают, ходят не по расписанию, вечно ломаются..... Вечно переполненые;Неудовлетворительные условия проезда в транспорте на действующем маршруте
Мусор/Свалки/ТКО;на даче в осенне/зимний период, подскажите пожалуйста, можно ли;Плата за вывоз ТКО
Благоустройство;фонарей нет. Темнота. Центр города.;Отсутствие фонарей освещения
Благоустройство;задать вопрос по поводу расчистки от снега хоккейной коробки. Кто должен её чистить? Родители?!;★ Нарушение правил уборки от снега и наледи детской игровой и спортивной площадки
ЖКХ;участков.По нашему обращению в местные эл. сети нам был дан ответ о том, что они отключение не производили, ссылаясь на то, что отключение произвело правление сада.Председатель сада поясняет, что действует;Отсутствие электричества
Государственная собственность;очень многих интересует а будет ли переселение в Губаху из поселка...??? Будет ли возможность получить жильё в Губахе.???. И если да то какие условия должны соответствовать требованиям... Не все могут позволить купить жильё посёлки практически без;Региональное имущество
Дороги;ещё пешеходную часть всю затопила, и;Подтопление автомобильных дорог
Роспотребнадзор;'Пермь г, +79125947946. Здравствуйте. Около дома Р. Землячки 8, ближе к ул. Лебедева расплодились крысы. УК Техкомфорт, которая отвечает за данную территорию утверждает что проводит дератацию. Возможно это так, но видимо она не срабатывает. Крысеныши бегают вокруг подъезда. Подскажите, как действовать, чтобы;Обработка и уничтожение грызунов (дератизация)
Коронавирус;при давлении230-165, пришлось;Жалобы на врачей
Благоустройство;'Не подойти г Александровск ул.;★ Нарушение правил уборки и вывоза загрязненного снега и наледи на газоне
ЖКХ;же проблема, один в один, только труба;Ненадлежащее содержание и эксплуатация МКД
Здравоохранение/Медицина;магнит сегодня днём умер мужчина, Скорая ехала час, это в самом центре города. В местном паблике было опубликовано видео, где свидетели говорят, что скорую ждали час, пока мужчина умирал, также были фото с реанимационными действиями сотрудников скорой. Но, к сожалению, по суровому требованию «местных властей» видео и фото с трагедией было удалено. Хотелось бы, чтобы ситуация не осталась без внимания. В любом;★ Скорая помощь
Здравоохранение/Медицина;Вы просите написать вам;Технические проблемы с записью на прием к врачу
Образование;из другого города (время там Московское) , подать документы в Перми не успели,;ВУЗы и ССУЗы
Благоустройство;а на дизайн-проекте только 9 кустарников.;Благоустройство общественного пространства (парк, сквер, пешеходная зона, бульвар, набережная, центральная улица или площадь)
Социальное обслуживание и защита;расселении аварийного жилья, в частности признанного;Аварийное жилье/переселение
ЖКХ;говорили, что долги по кварплате будут списаны с того числа ,когда я;Плата за ЖКУ и работа ЕИРЦ
Благоустройство;транспорта? Куча щебня и земля;Нарушение правил проведения земляных работ
Культура;последние мероприятия,которые я посещала,я находила на страничках пользователей сетей!Где бы точнее узнавать информацию?Но пользуясь случаем,то хочу выразить благодарность правительству Пермского края и лично губернатору,что проходит масса мероприятий и практически все бесплатные!!! Просто восхищает и радует!!!! Спасибо большое за заботу о жителях!!!.У меня друзья с других;Учреждения культуры
Благоустройство;центре, около танка тоже парк большой. Стоят туалеты с одной стороны и с другой. Только вот они все лето закрыты... А нужны;Отсутствие общественных туалетов
Образование;распоряжения о пасочном режиме для детей во время учебной деятельности? Как могут второклассники, восьми-девятилетние детки, 30 человек в классе;Безопасность образовательного процесса
Социальное обслуживание и защита;на какие льготы может рассчитывать одиноко проживающий;Пенсионеры и ветераны
Общественный транспорт;И снова не работает терминал на накопительной площадке. Задний;Льготы на проезд и тарифы
Образование;раз обещали охрану усилять, ничего не делают! Сама из Перми - ничего не меняется. Так же сидят люди , которые в случае чего даже сделать ничего не смогут! Сколько это может продолжаться? Думают;Безопасность образовательного процесса
Благоустройство;"я сообщал об разрушении дома №19 по улице Льва Толстого, но кроме слов: ""Мы об этом уже извещены"" больше ничего не делается. Вчера вечером выпал из кладки кирпича с высоты 4 этажа ещё один кирпич. Пострадавших нет. Примите меры";Уборка территорий
Мусор/Свалки/ТКО;25 рядом Гагарина. Дорогу жители почистили. Подъезд;★ Уборка/Вывоз мусора
Благоустройство;"года!!! Фасаду ДК ""Горняк"" требуется ремонт!!!";Ненадлежащее состояние фасадов нежилых зданий, объектов и ограждений
Физическая культура и спорт;фото;Спортивные мероприятия
Благоустройство;весенний период, объясните, зачем ждать весны, если материал заказан в срок до 15.09.2022? В;★ Открытые канализационные люки
Общественный транспорт;бесплатные.Сейчас сделали платные.Я например,не смогла проехать по Пересадке.Водитель отказался дать дать билет...некогда ему.Раз так,Верните старые маршруты....или Настройте Валидаторы на;Льготы на проезд и тарифы
"МФЦ ""Мои документы""";Не могу дозвониться до соц. Защиты в орджоникидзевском районе. Они не;Государственные услуги
Образование;мед.кабинет работает 8ми часовую рабочую смену,а потом что?Разве не может стать плохо ребенку, который учится во вторую смену?И когда ему плохо,то у;Безопасность образовательного процесса
Роспотребнадзор;его отряда также приехали с укусами. Со слов детей, после жалоб на укусы клопов комнату, в которой проживал отряд, чем-то обработал молодой вожатый. После чего, детей вновь поселили в этой же комнате. Несмотря на обработку, клопа снова вернулись.;Санитарно-эпидемиологическое благополучие
Строительство и архитектура;'да, подтверждаю;Архитектура города
Здравоохранение/Медицина;нет элементарных препоратов, с анитибиотиками даже простого;Отсутствие лекарств в стационарах
Социальное обслуживание и защита;эту коляску!! 3-4 года, многие инвалиды получают коляски июпо индивидуальным закупкам через ПРОКУРАТУРУ!!! А ВЫ И ВАШ ФСС КРИЧИТЕ ЖАЛУЙТЕСЬ КОМУ УГОДНО МЫ НЕ ЧЕГО НЕ БОИМСЯ!! И еще а если сам инвалид решиться купить самостоятельно, то компенсация смешная! Купил за 30т вернули 15, а то и 10 тыс..про другие ТС вообще молчу! Так что не надо тут,;Инвалиды
Здравоохранение/Медицина;с александровской поликлиникой как вы работаете 🤦‍♂️ они ведь;Ошибки врачей, халатность
Образование;даже, нужен не только центр в губахе но и посёлок северный, нужен также и садик с такой же проблемой, только где таких специалистов взять у нас на северном один спициалист на два корпуса берут из-за этого;Строительство школ, детских садов
Благоустройство;день! Ничего не;★ Нарушение правил уборки и вывоза порубочных остатков
Благоустройство;така же ситуация!Глыбы;★ Нарушение правил уборки от снега и наледи территории парка и сквера
Образование;до сих пор не известен;Детские оздоровительные лагеря
Здравоохранение/Медицина;на фото приходится отстоять дважды,сперва на мазок,потом к врачу.тест мой отр.,что могу сказать,нас заходило 10 человек и только у одной признали корону.посмотрим,какой ответ придет сыну,если у;Очередь
Благоустройство;подскажите пжл в детском парке у пруда,сделали лавочки,все украсили,сделали туалет можно узнать почему он не работает?идёшь с детьми гулять в туалет сводить не куда(для каких тогда Целий ставили;Отсутствие общественных туалетов
Социальное обслуживание и защита;нам сообщили что нет средств!!!! Приобретайте сами.!Протез косметический стоит 48.50.Протез активный 283 583.У меня нет возможности приобрести самой. Ребёнок растёт протезы малы. София 1 сентября пошла 1 класс. Без протеза мы не можем посещать школу.Звонила к вам в приёмную 253-70-64.ответили что это не в вашей компетенции,этим занимается министерство социального развития. ФСР. ответил (ФСС не относятся к нам) С этой проблемой обратились в Прокуратура Ленинского района, 22 сентября. Ответа нет. помогите.!;Создание доступной среды для инвалидов
Дороги;'А на улице Пулковская , когда ограждения поставят;Необходима установка и замена дорожных ограждений
Безопасность;учителем добровольцем на;Безопасность общественных пространств
Дороги;от Кировского кольца в сторону Железнодорожного, и эта прямая довольно длинная. Водители разгоняются по этой прямой и становится просто страшно переходить дорогу.Около 11 лет;Предложить установку нового лежачего полицейского (ИДН)
Общественный транспорт;вернуть в;Отсутствие остановочных пунктов
Благоустройство;'Здравствуйте, вот такая красота в;Разрушение тротуаров и пешеходных дорожек
"МФЦ ""Мои документы""";продлен и на работе не могут его распечатать дурдом . Говорит врач програма выдает ошибку а мне то чё;Государственные услуги
Общественный транспорт;автобуса по маршруту #1 практически превысила свои полномочия над школьником, который ехал в поликлинику на Гайдара. Не сработал терминал, несмотря на то, что деньги на карте есть! Мало того, что пассажиры признали в ребенке зайца, да ещё наговорил кучу ерунды вплоть, что на курево деньги есть, а на проезд нет. Мужчина, который это ляпнул, посмотреть бы вам в глаза.. В общем люди - Вы все людишки. Отдельное;Некорректное поведение водительского состава
Социальное обслуживание и защита;надо везде;Волонтерство
Безопасность;заявке, к нему в кабинет зашла женщина и сказала что отлов они не;Отлов безнадзорных собак и кошек
Государственная собственность;куда можно обратиться по поводу аренды свободного земельного;Региональное имущество
Благоустройство;предложение: Предлагаю вдоль речки Егошиха с двух сторон сделать аллею для пешеходных, велосипедных прогулок, сделать возможность прогулок мамочек с детьми в колясках и без колясок, с установкой детских площадок, спортивных площадок для детей и взрослых, сделать несколько собачьих площадок, а;Предложение по благоустройству
ЖКХ;весь город заклеен;★ Несанкционированные надписи, рисунки, реклама на фасаде МКД
ЖКХ;течет водичка;Другие проблемы с общедомовой системой водоотведения (канализации)
Благоустройство;'А вот эти червяки это что и для чего!?Да, очень много символизма опять, у них прям;Нарушение правил проведения земляных работ
Дороги;дорога по куйбышева от Чкалова до Яблочкова сделают@!! Хотя;Ямы и выбоины на дороге
Коронавирус;идите в Больницу, если мазок будет отрицательный»Больничный оформлен с 24 января по завтра , среду, 2 февраля.Врач ФАЗЛЕЕВА ушла на больничный (смотрел сайт;Тесты на коронавирус
Строительство и архитектура;появится мои девочки вырастут. Поликлинику ждём 6;Строительство социальных объектов
ЖКХ;'Доброе утро,моя семья стала многодетной,родилась дочка,как передать данные по ней?;Сборы за капитальный ремонт
Здравоохранение/Медицина;больнице? Родители;★ Питание в медицинских учреждениях
Благоустройство;тому же рядом проходит тротуарная площадка,;★ Нарушение правил уборки от снега и наледи внутридворового проезда, тротуара, площади
Коронавирус;,7 указа срок посещения санаторно-курортных заведений для переболевших составляет 6 месяцев? Почему ? QR код на год, а в;Сертификаты и QR-коды
ЖКХ;'Интересно, у нас одних по Ленина 35 течёт такая вода? Или многие в городе пользуются такими благами ( если что, то во втором фото - белые жгутики -;Плохое качество воды
ЖКХ;5 холодно, чуть;Ненадлежащее качество или отсутствие отопления
Образование;3;Дистанционное образование
ЖКХ;тоже;Ненадлежащее качество или отсутствие отопления
Экология;"Здравствуйте! В том году, 2021, я уже обращалась по вопросу благоустройства Утиного болота; какие были действия сделаны, сказать не могу, но почистили от ""художеств"" указатели, это видно было. Но у болота будто нет хозяина, нет куратора, кто мог бы облагородить это УНИКАЛЬНОЕ МЕСТО ГНЕЗДОВАНИЯ КРЯКВЫ; там лучше не становится - уток меньше, грязи больше. Ведь большинству приходящих нет дела ни до уток, ни до того, чем их";Выбросы вредных веществ в водоёмы/загрязнение водоёмов
Общественный транспорт;общественном транспорте. Самой такая ситуация не понравилась сразу, когда со мной такое же произошло в первый раз. Назвать вот так могу, зачем кондукторов убрали из общественого;Льготы на проезд и тарифы
Коронавирус;как учитывать контакт ковид? Если сдал оак 3марта, мазок взяли этого же числа, А сделан;Самоизоляция и карантин
Коронавирус;каким номерам можно воообше;Проблемы в работе горячих линий
Безопасность;где можно оставить помощь для;Беженцы
ЖКХ;16 градусов, но это скорей всего претензия к управляющей компании, дважды обращались с проблемой, но безрезультатно. 1,5;Ненадлежащее качество или отсутствие отопления
Образование;руб). Это будет с 1 апреля или опять нет?;Зарплата учителей
Дороги;нет знаков обозначающих перекресток. Там даже прерывистая разметка не заканчивается.;★ Некачественно нанесенная разметка на проезжей части
ЖКХ;года, наша администрация всё решает и решает, никаких действий не принимают, надо действительно Махонину писать или сразу Путину, за, что платим?;Лифт неисправен или отключен
Экология;что происходит по ночам на Коксе? Дома дышать не возможно вонь;Выбросы вредных веществ в атмосферу/загрязнение воздуха
Благоустройство;+79024762625.;Отсутствие детских площадок
Дороги;это перекресток равнозначных улиц? Знаков ПДД;Содержание дорожных знаков/Установка новых дорожных знаков, с внесением в схему дислокации, замена старых знаков на новые
Роспотребнадзор;И это не единственный случай. Другие ребята из его отряда также приехали с укусами. Со слов детей, после жалоб на укусы клопов комнату, в которой проживал отряд, чем-то обработал молодой вожатый. После чего, детей вновь поселили в этой же комнате. Несмотря на обработку, клопа снова вернулись. При;Санитарно-эпидемиологическое благополучие
Благоустройство;деревьев вырубили. Поставили кадки деревянные с кустами. И это зелёный город. Не позорьтесь. Стыдно за Вас.;★ Ненадлежащее содержание зеленых насаждений (газонов)/деревьев и кустарников
Общественный транспорт;оплате картой, билет не выдаётся. И как доказать тогда, что оплачен презд? Смс;Неудовлетворительные условия проезда в транспорте на действующем маршруте
Благоустройство;грязь убрать. Машина едет. Пыль столбом на Ушакова на Кировоградской;Уборка территорий
ЖКХ;"неизвестные ломают лифты, мусорят, разрушают почтовые ящики, а также спят бомжи. ""Жутко заходить в подъезд, везде";Ненадлежащая уборка подъездов и лифтов
Здравоохранение/Медицина;этого вычитают;Низкая заработная плата врачей
Социальное обслуживание и защита;а просто рай😇!!!Вы возьмите сельские поселения, так там уровень безработицы просто зашкаливает!!! И не потому, что люди не хотят работать или по мнению многих только пьют!! А потому что работы просто нет!!! Все развалено!!! Вот и выходит, что мы в собственной стране вынуждены ездить на работу за сотни и тысячи километров от своего дома, как гастарбайтеры!!!! Безобразие!!😤А правительству лишь бы отчитаться, еще и;Занятость и трудоустройство
ЖКХ;в УК нам сказали написать заявление от собственников, затем выслали смету, но там;Ремонт подъездов
