Группа тем;Текст инцидента;Тема
ЖКХ;подвалы нижележащих домов;★ Затопление подъездов, подвальных помещений
Образование;не директор школы должен думать. Это;Социальная поддержка учителей
Мусор/Свалки/ТКО;излучают нужный спектр ультрафиолета. И;Раздельная сортировка отходов
Строительство и архитектура;47. удручающий вид.;Строительство зданий
Общественный транспорт;сейчас до Садового доезжать, с Советской;Изменить или отменить маршрут
Дороги;"'Добрый день. Просьба проанализировать работу муниципального предприятия ""Горсвет"" в части освещенности улиц. Сегодня свет отключился в 7.50, в это время еще не рассвело настолько, чтобы отсутствие освещения было безопасным для пешеходов (в частности, имеется в виду улица Гайвинская,";Освещение неисправно или отсутствует
Благоустройство;здорово! Там много народу и детей ходит пешком, а присесть отдохнуть;★ Отсутствие урн, лавочек в общественных местах и дворовой территории
Общественный транспорт;Реки и Нижнию Васильевку необходимого для поездки детей в;Добавить новый маршрут
Образование;бюджете на это нет средств.;ВУЗы и ССУЗы
Образование;стипендию в вузе, но для подачи кроме диплома нужно еще и;ВУЗы и ССУЗы
ЖКХ;'Но ведь вся вода;★ Затопление подъездов, подвальных помещений
ЖКХ;вода фундамент подмывается Комфорт от нас отказался сейчас Яйва Дом мы все;★ Затопление подъездов, подвальных помещений
ЖКХ;тепло. А в квартирах дубак, уже ждём;Ненадлежащее качество или отсутствие отопления
Образование;На весь край? Т.е. сейчас Н хватает;Содержание гос. образовательных организаций
ЖКХ;и к кому обращаться о ненадлежащим состоянии и уходе за придомовой территории Дома по улице;Ненадлежащее содержание и эксплуатация МКД
Социальное обслуживание и защита;вашем министерстве ? Я учусь в РАНХиГС, специальность ГМУ;Занятость и трудоустройство
Здравоохранение/Медицина;Карьера, Усть-Игум флюорограф скоро станет историей. Не стыдно Министерство здравоохранения;Нехватка материально-технического обеспечения
Дороги;пробка так и;Пробки
Экология;объясните пожалуйста населению откуда дым;Выбросы вредных веществ в атмосферу/загрязнение воздуха
"МФЦ ""Мои документы""";скажите пожалуйста, можно ли;Государственные услуги
Социальное обслуживание и защита;"семья"", Свердловский р-н?";Улучшение жилищных условий
ЖКХ;на Курчатова 4.;Ремонт подъездов
Спецпроекты;'Сообщение без текста;Спецпроекты
Коронавирус;Пермского края], что за враньё? Откуда врач ковидной бригады знает мое самочувствие? Как определяют, что легкая форма болезни? Никто не приходит! Сегодня такая форма, а завтра другая, поздно будет. Вызвать врача? Вы с МИНЗДРАВ какого края ? Вы на Луне находитесь?1. Врача не вызвать!2. Позвонили из пол-ки, не врач, выспросив как я, сообщили о дате приёма. Так и сказали: никто не придёт, будет хуже — звоните🙈Какие лекарства???Зато ЗАМЕЧАТЕЛЬНЫМ образом был напечатан документ в моей электронной мед.карте, когда, кто ВРАЧ приходил на ДОМ, какие;Жалобы на врачей
ЖКХ;потому что нет дождя. Середина лета, в квартирах поливает так же как на улице, на звонки всех оставленных номеров тел ни кто не отвечает.Администрация города, следственный ком, все;★ Протечки с кровли (системы водостока)
ЖКХ;Время ушло. Работы по ремонту кровли так;Непригодные для проживания жилые помещения
Погребение и похоронное дело;'В данной ситуации можно эти деньги потратить на очистку придорожных территорий и тротуаров и наведение порядка на кладбище к этому Великому празднику.;Погребение и похоронное дело
Благоустройство;,та же проблема!!!;★ Подтопление территории
"МФЦ ""Мои документы""";ли такая услуга в мфц?соцзащита как-то неуверенно отправляет меня через мфц писать;"МФЦ ""Мои документы"""
ЖКХ;'Платить конечно надо. Но. У нас например ПСК что-то заменили на ЦТП и уже полгода происходят регулярные отключения;Отсутствие горячей воды
Здравоохранение/Медицина;вакцина от гриппа?;Вакцинация
"МФЦ ""Мои документы""";услуга в мфц?соцзащита как-то неуверенно отправляет меня через мфц писать заявление, хотя ранее я у;"МФЦ ""Мои документы"""
ЖКХ;в итоге так никто не приехал Как на неё можно повлиять мы уже;Отсутствие горячей воды
Общественный транспорт;г, +79991252309. Автобус маршрута №5 не идёт до конечной остановки;Изменить или отменить маршрут
Общественный транспорт;наказывать за это.Тариф поднимают на билет, а автобусов в маршруте не добавляют.Им проще взять оплату за двойной автобус.Куда смотрятпроверяющие? Кировский район особенно? Всегда люди едут;Льготы на проезд и тарифы
ЖКХ;'КТО НЕ ЗНАЛ, ЗАПАДНУЮ ЧАСТЬ ПР.ПОБЕДЫ НЕ ПОДКЛЮЧАЮТ К ВОДЕ.ЛЮДУ УМИРАЮТ, ИМУЩЕСТВО ГОРОД ПРОДАЕТ. НО ЗЕМЛЯ ПОД ИЖС, а воды нет . Земля дорогая по кадастру. Налог болтшой. Ближайшие годы мб землю и;Другие проблемы с общедомовой системой водоотведения (канализации)
Здравоохранение/Медицина;такое различие огромное в питании. А тараканы;★ Питание в медицинских учреждениях
Культура;'Здравствуйте, давайте флешмоб устроим новогодней ёлки;Культурно-досуговые мероприятия
Общественный транспорт;же ломать крышу перехода. Я два года;Пешеходные переходы и жд переезды
Культура;устроим новогодней ёлки;Культурно-досуговые мероприятия
Государственная собственность;или подземной (частично встроенной в МКД) стоянкой?;Региональное имущество
Связь и телевидение;рождении,т.к я проживаю в Тамбовской области г.рассказово;★ Информационно-техническая поддержка
Благоустройство;Есть полно пешеходов. Пройти по тротуара страшно. Не убирают от льда, не посыпают. (Это ул. Куйбышева от;★ Нарушение правил уборки от снега и наледи детской игровой и спортивной площадки
Социальное обслуживание и защита;8 июня на пособие до 3 лет. О результате узнала только сегодня, позвонив на горячую линию - отказано! никаких звонков и уведомлений ранее не было. Дозвониться до районных отделов невозможно от слова совсем. Ни один из 3 телефонов не отвечают (Дзержинский район). На электронную почту так же не отвечают.Хотелось бы уточнить какие цифры брали в расчет,;Дети и многодетные семьи
Социальное обслуживание и защита;Борисовна ул.Победы 12-28.До сих пор нет ничего.Т.89922041485 Заявление;Задержка выплат гражданам
Социальное обслуживание и защита;детей не дают выплаты ежемесячно по 10000?к каждому;Задержка выплат гражданам
Мусор/Свалки/ТКО;чтобы урегулировать вопрос.;Плата за вывоз ТКО
Благоустройство;Фото прикрепляю.. .;Благоустройство общественного пространства (парк, сквер, пешеходная зона, бульвар, набережная, центральная улица или площадь)
Экология;в социальных сетях. Река протекает по территориям;Выбросы вредных веществ в водоёмы/загрязнение водоёмов
Благоустройство;'Мира 14 упало дерево.;Вырубка деревьев, кустарников
Газ и топливо;устала обещания слушать.;Сроки газификации
Общественный транспорт;Я два года добивался ремонта этой крыши. Ремонт сделали;Пешеходные переходы и жд переезды
Мусор/Свалки/ТКО;день. Подскажите, пожалуйста, в Пермском крае установлены тарифы;Плата за вывоз ТКО
Физическая культура и спорт;понимаем почему должны платить за вход на трассу)за плату место для переливания нет,трасса в полном объеме не готова,вход был 2 года назад 150р в будний утренний день.хорошо модель быть собственник базы взял в аренду огромное количество земли трассы,но его обязанность входит подготовить трассу,техника для этого ему выделена (денег тратить не хочет). Представьте ситуацию,в которую я вообще не могу проверить. Не буду писать фамилии,но есть у нас в крае гордость спортивная, которая хорошо себя показывет в марафонах любителей по России и он на своей родной трассе сам едет на своём снегоходе и для себя готовит трассу на медведях. Мы ведь с вами может как в старые добрые и этапы по биатлону проводить,было бы желание. Обязательно задам вопросы Елене Валерьевне ,человек занятой,но может быть услышит.это все конечно, Татьяна ни в коем случае не претензии,это просто мнение вдруг вы уже знаете про ситуацию по медведям.хотелось бы выделить;Спортивные мероприятия
ЖКХ;с долгом в 1090 руб. Из всего нашего дома только меня. Причем подключение обратно стоит 1900. Бред. По всему нашему дому 1/3;Отсутствие электричества
Благоустройство;начале июля спилили деревья, и;★ Нарушение правил уборки и вывоза порубочных остатков
Коронавирус;я переболела коронавирусом.;Коронавирус
Благоустройство;думаете, под какой национальный проект;Предложение по благоустройству
Социальное обслуживание и защита;посёлке Луньевка по улице Лермонтова 32;Аварийное жилье/переселение
Общественный транспорт;этого плохо не;Добавить новый маршрут
Здравоохранение/Медицина;Можно узнать,женские консультации тоже не ведут плановые;Профильный осмотр
Мусор/Свалки/ТКО;мусорДела продвигаются в час по чайной ложкеУже почти месяц площадка без новых контейнеров????Когда же будет;Проблемы с контейнерами
Здравоохранение/Медицина;удачу, что с их ребёнком всё хорошо, а если действительно кому то нужна помощь прямо сейчас! Кто за это будет ответственен?!В больнице открыто;Нехватка или сокращение врачей и медицинских учреждений
Образование;именную стипендию пермского края и когда будет;Выплаты стипендий
Общественный транспорт;у здания для всех, кроме работников администрации. У них есть пульт, они же Боги!Столб установленный посредине мешает поселке пассажиров. Кроме того, рядом на зебре какой то дурак воткнул такой же столб посреди перехода...[id628987039|Алексей] когда у администрации района будут нормальные;Отсутствие остановочных пунктов
Электроснабжение;пошла!Никакие электроприборы не работают.Свет мигает что утром,что днем,что вечером до 23.00.;Качество электроснабжения
Электроснабжение;не идёт как поставили так и стоят на новые не подключают. Прикрепляю видео это самое большое как может;Качество электроснабжения
Благоустройство;ни в коем случае не выбирайте,потому как там;Уборка территорий
Дороги;"этом поставить НЕЛОГИЧНЫЙ светофор, перед которым и без того аж 3 штуки стоит (да и к чему нужен светофор на ""второстепенный "" участок, а именно на проезд к проходным завода? Дороги сделали, за это спасибо! Но пробки от нелогичных трансформаций только УВЕЛИЧИЛИСЬ.Лучше бы на перекрёстке КУЙБЫШЕВА - ЧКАЛОВА решили проблему со светофором, на котором СОВСЕМ НЕ ВИДНО ЦИФРЫ, так как они находятся только на дальнем светофоре (притом в обоих направлениях), а там ещё и камеры стоят, а как успевать проехать через такой большой перекрёсток, если время не видно?!";Работа светофора (установка, изменение режима работы, оборудование кнопкой вызова)
Здравоохранение/Медицина;частных клиниках с кадрами;Низкая заработная плата врачей
Социальное обслуживание и защита;счас должна ждать 1,;Соц.обслуживание прочее
Общественный транспорт;случай автобус Александровск -В-вильва в 9.20 первый рейс наглый кондуктор не пустил пожилую бабушку;Некорректное поведение водительского состава
ЖКХ;история у бизнес центра Парус,;★ Засор в общедомовой системе водоотведения (канализации)
Социальное обслуживание и защита;ждать 1, 5 недели чтоб;Соц.обслуживание прочее
Образование;края], возможно, что прекрасным выходом из сложившейся ситуации будет информирование детей в образовательных учреждениях. Важно, чтобы администрация вовремя и корректно доносила всю;ВУЗы и ССУЗы
Физическая культура и спорт;чтобы он был там! Народ ходит катается зимой. Пустили слухи;Ремонт спортивных учреждений
ЖКХ;и площадку для привлечения к этому вопросу адм.Также ждем решения УК, помощи депутатов разгрузить нашу дорогу методами — перенос калитки, восстановление второго проезда. Обещали встречу, заседание готовится.Нужно как-то разгружать наш проезд — это и шум, и опасность.То что написали на сайте — понятно, чем я могу помочь детям, только тем, что буду настойчиво требовать участия общественности. Пишу письма, обращения, ДГА пишет что проезд есть второй перед школой. Но по факту его нет. Вот эта переписка длится два года.Может действительно нужно закрыть проезд;Жалобы на управляющие компании
Связь и телевидение;'Сообщение без текста;★ Информационно-техническая поддержка
ЖКХ;запах стоит и все растекается на 2 квартала.;★ Засор в общедомовой системе водоотведения (канализации)
Здравоохранение/Медицина;брать мазок или только осмотр;Диспансеризация
Здравоохранение/Медицина;гр))курьеру далеко из поликлиники через дорогу на Коммун,31;Здравоохранение прочее
Коронавирус;самоизоляция больше не;Самоизоляция и карантин
ЖКХ;не убрали и;Ненадлежащая уборка подъездов и лифтов
Спецпроекты;17:00.Начну с вопросов, которые вы оставите под анонсом, затем перейдем к вопросам, которые вы;Спецпроекты
Здравоохранение/Медицина;в рп.Октябрьский не могут;Профильный осмотр
Дороги;зделали новую дорогу по ул Пионеров;Некачественно выполненный ремонт дорог
Здравоохранение/Медицина;сначала свои поликлиники. На Крупской к эндокринологу пол;Нехватка или сокращение врачей и медицинских учреждений
Здравоохранение/Медицина;врачи ни приезжают в;Нехватка или сокращение врачей и медицинских учреждений
Экономика и бизнес;'Сообщение без текста;Цены и ценообразование
Газ и топливо;привезут газ, куда девать;Сроки газификации
Здравоохранение/Медицина;могут пройти медкомиссию у;Профильный осмотр
ЖКХ;забилась канализация с 19.03.2022 до по Добролюбова 28, приезжали слесаря взяли с 4 квартир по 500 рублей, работу не выполнили и не приезжают продолжать чистить, мы уже с субботы не можем вымыть посуду, помытся, постираться и сделать прочие бытовые нужды.;★ Засор в общедомовой системе водоотведения (канализации)
Строительство и архитектура;в городе закрыли несколько предприятий. Частник не хочет вкладывать деньги. Некоторые производства даже;Состояние зданий учреждений и организаций
Социальное обслуживание и защита;могу получить справку от центр занятости? Почему место специалиста который в отпуске не работает другой? Я счас должна ждать 1, 5 недели;Соц.обслуживание прочее
Благоустройство;На спортивной площадке также всё изрисованы, и сломано. Гимнастического кольца нет, баскетбольные постоянно сломано,;★ Ненадлежащее состояние игровых элементов на детской или спортивной площадке
Общественный транспорт;район особенно? Всегда люди едут вот так.;Льготы на проезд и тарифы
Мусор/Свалки/ТКО;комплекс не построить в закамске.;Строительство объектов по обращению с отходами
Благоустройство;в этих ямах, вытаскивают друг друга. Таксисты отказываются доезжать до;★ Ямы во дворах
Благоустройство;7 по ул.Пушкина,очень опасно;Вырубка деревьев, кустарников
Благоустройство;Васильевич, рада за жителей в этом дворе проживающих. Не то что по;Благоустройство придомовых территорий
Коронавирус;тц планета ещё имеется в наличии спутник лайт? Не закончится к субботе?;Доступность вакцин
Образование;14 лет, прописан по адресу Запорожская, 1;Строительство школ, детских садов
Общественный транспорт;устала стоять и ехала;Некорректное поведение водительского состава
Физическая культура и спорт;ещё в крае, на рассмотрении, или уже утверждена?Если утверждена скажите по стоимости,;Строительство спортивной инфраструктуры
Благоустройство;спасибо не нужно. Уборку канавы так и не;★ Нарушение правил уборки внутридворового проезда, пешеходной дорожки
Мусор/Свалки/ТКО;лес мусором завалили...строители..куда;★ Стихийные свалки в городе/в парках/в лесу
Благоустройство;ни разу не почистили. Машины сиаскивает,;★ Открытые канализационные люки
Социальное обслуживание и защита;умею заполнять, мне соц. участковый сможет;Оказание гос. соц. помощи
Газ и топливо;помощь на компенсацию подключения газа внутри дома (31146р) можно;Стоимость, оплата и возврат средств на газификацию
Коронавирус;350-400 чел. в сутки. Лечить стали хуже? Или не кого лечить, соответственно и выздоравливать не;Коронавирус
Коронавирус;очереди стоишь всем подаришь этот ковид.;Проблемы в работе горячих линий
Образование;Вопрос, где взять мужчин с высшим, средним педагогическим образованием, желающих обучать в этих современных мастерских? Чем его привлечь в сельскую школу, где нет жилья, нормальной зарплаты ему тоже не предложить, досуг отсутствует, равно как и стабильная телефонная связь и интернет. Его жене работу не найти, кроме сельского хозяйства. Об этом не директор школы должен думать.;Социальная поддержка учителей
Благоустройство;в августе 2021 года, выложила фото, объяснила где находится. Пообещали в сентябре вывезти. Но все на месте, воз и ныне там.Перваядорога после бывшего домика сторожа. Скоро день Победы. Там у;Уборка территорий
Общественный транспорт;будет столь опасным? Перекрёсток Ярославского и Солдатова;Пешеходные переходы и жд переезды
Благоустройство;люди ходить должны и машины;★ Нарушение правил уборки от снега и наледи детской игровой и спортивной площадки
ЖКХ;дома Подлесная 23/2 проходит транзитная труба она;Другие проблемы с общедомовой системой водоотведения (канализации)
Социальное обслуживание и защита;от них обратную связьДо них не дозвониться они не берут трубки или скидывают телефон на электронную почту;Социальные учреждения
Общественный транспорт;дорогой во время движения, или он будет по 10-20 минут стоять на остановке и;Неудовлетворительные условия проезда в транспорте на действующем маршруте
Благоустройство;'открытые люки, рядом с манежом. рядом ходят дети, анонимно;★ Открытые канализационные люки
Благоустройство;деревья. Был город зелёным стал каменным,сплошной асфальт. От театральный по;Вырубка деревьев, кустарников
Коронавирус;году ставила двухкомпонентную Спутник V и очень тяжело перенесла обе прививки, появились последствия со здоровьем в мои то;Доступность вакцин
Дороги;не планируется на данном;Строительство или реконструкция дорог
Здравоохранение/Медицина;день! Ответьте пожалуйста планируется ли;Предложения по созданию лечебных центров
Физическая культура и спорт;за вход на трассу)за плату место для переливания нет,трасса в полном объеме не готова,вход был 2 года назад 150р в будний утренний день.хорошо модель быть собственник базы взял в аренду огромное количество земли трассы,но его обязанность входит подготовить трассу,техника для этого ему выделена (денег тратить не хочет). Представьте ситуацию,в которую я вообще не могу проверить. Не буду писать фамилии,но есть у нас в крае гордость спортивная, которая хорошо себя показывет в марафонах любителей по России и он на своей родной трассе сам едет на своём;Спортивные мероприятия
Общественный транспорт;ещё и троллейбусы убрали, власти кроме;Неудовлетворительные условия проезда в транспорте на действующем маршруте
Общественный транспорт;с Советской Армии, Чайковского, 9 Мая?????;Изменить или отменить маршрут
ЖКХ;и горячей воды нет (((;Низкая температура воды/слабое давление
Общественный транспорт;'Доброе утро! Подскажите пожалуйста, для инвалидов есть проездные, как раньше, или уже нет? Где;Льготы на проезд и тарифы
ЖКХ;под ногами бегают.;Дезинфекция МКД
Торговля;Курье, на 5линии 1а, стоит ржавый вагон, никто в нем не работает. Портит весь вид. Куда только не обращались... Все;★ Нестационарная торговля (киоски, павильоны, сезонная торговля)
Образование;'Учителя а воспитатели?;Социальная поддержка учителей
Общественный транспорт;в некоторых автобусах по карте школьника(1-4классы, при подключенной льготе) валидатор выдает билет;Проблемы с социальными картами или проездными документами
"МФЦ ""Мои документы""";как-то неуверенно отправляет меня через мфц писать заявление, хотя ранее я у них подавала заявление;"МФЦ ""Мои документы"""
Благоустройство;. Гоголя 6 сломана качель;★ Ненадлежащее состояние игровых элементов на детской или спортивной площадке
Коронавирус;городе Березники никаких вакцин нет.;Доступность вакцин
Социальное обслуживание и защита;3 до 7,;Дети и многодетные семьи
Благоустройство;с кучами снега;★ Нарушение правил уборки и вывоза загрязненного снега и наледи на газоне
Общественный транспорт;красить, а хотя бы вымыть). Самая страшная;Содержание остановок
Образование;начало строительства новой школы в;Строительство школ, детских садов
Благоустройство;другими площадками для прогулок с детьми.В этот сквере по кругу каждые пять- десять лет будут вкладывать бюджетные деньги?Я конечно за то что бы делать наш город уютней , но хотелось;Благоустройство общественного пространства (парк, сквер, пешеходная зона, бульвар, набережная, центральная улица или площадь)
Благоустройство;можно терпеть? Когда правители города решат проблему с;★ Парковка на газонах
Дороги;не заметны. Не все автомобилисты соблюдают разметку, может все же повесить знаки;★ Некачественно нанесенная разметка на проезжей части
Здравоохранение/Медицина;не пускают к лежачим так ещё лекарство не возможно передать. У меня дочь лежала в этой больнице мы с мужем работаем с 8 до 21 приехать могли;Отсутствие лекарств в стационарах
