Группа тем;Текст инцидента;Тема
Образование;'Будем везде писать и афишировать как принимают детей;Устройство в ДОУ
Благоустройство;полно пешеходов. Пройти по тротуара страшно. Не убирают от льда,;★ Нарушение правил уборки от снега и наледи детской игровой и спортивной площадки
Образование;Ребенку 14 лет, прописан по адресу Запорожская, 1;Строительство школ, детских садов
Дороги;НЕ РАЗГРУЗИЛАСЬ, как была, так и осталась и никуда пробка эта не делась, а;Пробки
Благоустройство;бы штук 10 поставили вдоль тротуара от Парка до 3 школы, было;★ Отсутствие урн, лавочек в общественных местах и дворовой территории
Здравоохранение/Медицина;пульмикорт и беродуал. Сейчас зашла в приложение;Отсутствие лекарств в аптеках
Здравоохранение/Медицина;просто не дозвониться!!! А нужен бл. Куда бежать,;★ Скорая помощь
Дороги;с ремонтом снабжения,стоят знаки поворот налево и направо,но так же сразу стоит знак запрещающий сквозной;Содержание дорожных знаков/Установка новых дорожных знаков, с внесением в схему дислокации, замена старых знаков на новые
Здравоохранение/Медицина;Точно говорят- одна мучка да разные;★ Питание в медицинских учреждениях
Дороги;нигде нет!!!! Респект всем главам и бывшим и нынешним!!!!;Ремонт дороги
Благоустройство;Парковый. Всё раскопали и бросили, а здесь;Нарушение правил проведения земляных работ
Образование;мы, учителя сельских школ, работаем не меньше, чем учителя городских школ. Вот и получаем за свою работу (со стажем более 30 лет) минимальную заработную;Социальная поддержка учителей
Газ и топливо;газ во 2 краснояр...я уже устала;Сроки газификации
Здравоохранение/Медицина;выкидыша она легла, пролежала 10 дней, нужен был припарат его в нытвенской болнице нет, сказали что есть препарат только в краевой больнице, вчера 21.02.2022 жену перевели, из нытвы в;Отсутствие лекарств в стационарах
Мобилизация;течении 5 дней переводят со дня подачи документов или;Зарплата, компенсации, поощрения, выплаты
Благоустройство;стоит и ни кому нет дела,люк;★ Открытые канализационные люки
ЖКХ;работает, только деньги берёт. Видимо;★ Наледь и сосульки на кровле
Здравоохранение/Медицина;отменили, а день здоровья проведут???;Профильный осмотр
Общественный транспорт;с заозерье, через все микрорайоны, в 5 микрорайон не заезжать,;Добавить новый маршрут
ЖКХ;Просим как-то воздействовать на ремонт крыши, иначе;★ Протечки с кровли (системы водостока)
ЖКХ;как у Вас роют, но нам по Д. Бедного за день всё сделали;Отсутствие холодной воды
Образование;обратиться и с чего начать.;Зарплата учителей
Социальное обслуживание и защита;какие не получаю мне хотелось узнать могу ли я что то оформить за третьего ребёнка?!;Матери-одиночки, подростки
Благоустройство;пожалуйста, неужели не существует никаких программ по установке детских площадок в многоквартирных домах? Много лет по ул Таганрогская 17 в;Отсутствие детских площадок
Образование;в школе по улице Орджоникидзе;Питание
ЖКХ;вовремя надо снег с крыш!!!!;★ Наледь и сосульки на кровле
Экономика и бизнес;что нет лекарств для людей,которые живут только на них. Вот;Цены и ценообразование
Коронавирус;Указанная прививка включена в календарь при условии возникновения эпидемии (Приложение N 2 к приказу Министерства здравоохранения Российской Федерации от 6 декабря 2021 г. N 1122н Календар профилактических прививок по эпидемическим;Порядок и пункты вакцинации
Благоустройство;трава так и лежит гниёт так;★ Ненадлежащее содержание зеленых насаждений (газонов)/деревьев и кустарников
Благоустройство;жителям дома Мира 44 невозможно припарковаться!!!VID_20220601_182024.mp4;★ Парковка на газонах
Образование;нескольких лет, эту проблему не решают!;Кадровые перестановки
Мусор/Свалки/ТКО;мусора.Платить за мусор должна,но почему я должна искать ближайщую мусорку ,да до нее нужно идти 10-15мин,если нельзя поставить мусорную площадку,тогда;★ Отсутствие контейнерной площадки/Проезд к контейнерной площадке
Коронавирус;г, +79504528397. Узнать анализ прц;Тесты на коронавирус
Благоустройство;ли проложить гостевой маршрут по ул. Марии;Предложение по благоустройству
ЖКХ;убирается, кошки везде нагадили. За что платим?, уважаемый'' Розин.;Ненадлежащая уборка подъездов и лифтов
Образование;подать документы на именную стипендию пермского края и когда будет приём;Выплаты стипендий
Образование;'Здравствуйте!а будет карантин в колледжах?;Дистанционное образование
Экология;более 3х лет гос. Структуры не видят;Выбросы вредных веществ в водоёмы/загрязнение водоёмов
Дороги;ремонт. Этому проезду 50 лет! 😡;Ямы и выбоины на дороге
Электроснабжение;'По улице Комсомольской столб падает.;★ Повреждение опор ЛЭП
Дороги;ли на этом участке замена;Строительство или реконструкция дорог
Коронавирус;карантин и работа в удалённом формате при положительном;Тесты на коронавирус
Дороги;жалуются на потоп из-за неисправной;Подтопление автомобильных дорог
Общественный транспорт;не те выкидыши которые ездят.;Изменение класса и количества автобусов
Благоустройство;ничего чистить не хотят, просто позор. Как люди ходить должны и;★ Нарушение правил уборки от снега и наледи детской игровой и спортивной площадки
ЖКХ;что нет в планах, в доме 8 подъездов, все с ремонтом кроме нашего, у нас ужас тихий со времен 80х;Ремонт подъездов
Благоустройство;неделю назад по программе благоустроили двор, положили новый асфальт и бардюры. А нам сейчас это всё ломают. Печально осознавать;Установка ограждений, препятствующих въезду на тротуар, газон на дворовой территории МКД
ЖКХ;тараканов, и соседи травят тараканов. В первом случае усатые;Дезинфекция МКД
Мусор/Свалки/ТКО;каждый вид мусора? Или все это показуха;Строительство объектов по обращению с отходами
Памятники и объекты культурного наследия;самих захоронений. Памятники поломаны. На лютеранском участке памятники стоят чуть ли не по пояс идущим уже.;Памятники и объекты культурного наследия
Благоустройство;края], в ЖК Арсенал, вообще ничего чистить;★ Нарушение правил уборки от снега и наледи детской игровой и спортивной площадки
ЖКХ;лампы на столбе. Во второй раз получили не адекватный ответ: темно- сидите дома!Просьба наладить освещение!ул. Некрасова 70Спасибо!;Отсутствие электричества
Коронавирус;какие еще вакцины для детей ожидаются?;Доступность вакцин
ЖКХ;было 1.900 ещё терпимо....А батареи чуть тёплые....конечно на улице же весна!!!! Надо;Завышение платы за коммунальные услуги
Здравоохранение/Медицина;'Борьба с распространением ОРВИ,Ковид,19 идет;Очередь
ЖКХ;Двухэтажка на 3 подъезда. В среднем подъезде бойлер, который можно ригулировать. Кто живёт в среднем подъезде сами делают какую надо температуру тепла в квартирах. Получается у их тепло, в 3 подъезде тепло, а на 1 ый приходит чуть тёплая. Вопрос такой. За;Ненадлежащее качество или отсутствие отопления
Дороги;Официальная страница],Дорога чистится ровно до поворота;★ Нарушение правил очистки дорог от снега и наледи/Обращения о необходимости очистить тротуар от снега и наледи
Здравоохранение/Медицина;"(ГБУЗ ПК ""КБ Им.Вагнера Е.А. г.Березники""-г.Александровск это филиал)весь отпуск я проработала,затем поменяла основное место работы на поликлинику. Отдел кадров разбирались по моему вопросу,насчет выплат,в итоге отказали,но это все было на";Социальная поддержка медперсонала
Социальное обслуживание и защита;нас в Лысьве есть ёлка;Инвалиды
Электроснабжение;не работают.Свет мигает что утром,что днем,что;Качество электроснабжения
Здравоохранение/Медицина;+79504483485. Температура 38 три дня не сбивается;Технические проблемы с записью на прием к врачу
Газ и топливо;'когда в Жемчужный привезут газ, куда;Сроки газификации
Здравоохранение/Медицина;населения г. Лысьва прошло вакцинацию?;Вакцинация
Мусор/Свалки/ТКО;"171"" возмущены кучей, которую кидают у нашего дома жители других домовДля чего стоит эта конструкция без баков? Уберите ее! 100 площадок до основного ряда с контейнерами, до которых";Проблемы с контейнерами
Физическая культура и спорт;какая то сетка, которая держится на честном слове. Все количество участников праздника в;Ремонт спортивных учреждений
Дороги;включить!!! Вот это точно будет;Работа светофора (установка, изменение режима работы, оборудование кнопкой вызова)
Дороги;где? Ездить невозможно, как после войны;Предложение дороги в план ремонта
Благоустройство;в квартирах где нет балкона. Помог те;Благоустройство общественного пространства (парк, сквер, пешеходная зона, бульвар, набережная, центральная улица или площадь)
"МФЦ ""Мои документы""";подскажите есть ли такая услуга в мфц?соцзащита как-то неуверенно отправляет меня через мфц писать заявление, хотя ранее я;"МФЦ ""Мои документы"""
Дороги;администрация,кто контролирует как произвели ремонт дороги?По плану ремонт дороги по ул.Пионерская должен завершится уже,сдача в мае,это вы так;Ремонт дороги
Благоустройство;прям на стоянке машин и дети со всего города ходят теперь кататься на эту грязную гору .наверно надо идти в администрацию пусть вывозят,;★ Нарушение правил уборки от снега и наледи территории парка и сквера
Дороги;на против ул.Делегатская 30 .;Ремонт/строительство мостов
Благоустройство;детского парка! Дети и взрослые справляют нужду не только в летний период, или по праздникам! Жители Лысьвы, не;Отсутствие общественных туалетов
Благоустройство;асфальт.Проще программу запуститьВырождаемость озеленения города;Благоустройство придомовых территорий
Образование;нескольких лет, эту проблему не решают!;Кадровые перестановки
Благоустройство;быть тогда ещё по соседней площадке подсказать сможете?;Благоустройство придомовых территорий
Дороги;и позволим им выходить из автобусов на тротуар?[club57433185|Пермь Первая], мы знаем, что в;Необходима установка и замена дорожных ограждений
Социальное обслуживание и защита;ли выплаты с ЦЗН?Ананимно пожалуйста!.;Задержка выплат гражданам
ЖКХ;'нас 27 тоже затопило 3 этажа УК ДО СИХ ПОР ИДЁТ АКТЫ ПИСАТЬ!;Залитие квартиры
Дороги;'Здравствуйте, ремонт мостика и лестницы;Ремонт/строительство мостов
Здравоохранение/Медицина;женскую консультацию, гинеколог нужен? Заранее спасибо.;Технические проблемы с записью на прием к врачу
Общественный транспорт;сколько пойдет.Работаем до пол 9.;График движения общественного транспорта
ЖКХ;в подъезды!Видео от [ПА] Подслушано;★ Затопление подъездов, подвальных помещений
Дороги;УЗНАТЬ ПРО РЕМОНТ КАМГЭС!!!МОЖЕТ ПОРА ПРИНЯТЬ РАДИКАЛЬНЫЕ МЕРЫ? ВЧЕРА, 7 ИЮНЯ ВЕСЬ ДЕНЬ НА МОСТУ НЕ БЫЛО НИ ОДНОГО РАБОЧЕГО ЗАТО ПРОБКА С 7 УТРА И 11 ВЕЧЕРА😡😡😡. КОГДА НА МОСТУ БУДЕТ АДЕКВАТНОЕ КОЛИЧЕСТВО;Ремонт дороги
Социальное обслуживание и защита;Это с их то связями и;Аварийное жилье/переселение
Здравоохранение/Медицина;что не пускают к лежачим так ещё лекарство не возможно передать. У меня дочь лежала в этой больнице мы с мужем работаем с 8 до 21 приехать могли только после работы(живём не в Кунгуре). Так вот мало того что;Отсутствие лекарств в стационарах
Социальное обслуживание и защита;узнать какие условия для этой программы? И;Улучшение жилищных условий
Благоустройство;остановочном пункте, одна из главных;Нарушение правил проведения земляных работ
Коронавирус;'Здравствуйте а Ковивак есть в;Доступность вакцин
ЖКХ;ДО СИХ ПОР ИДЁТ АКТЫ ПИСАТЬ!;Залитие квартиры
ЖКХ;октябре, а сейчас уже в ноябре. Уже середина;Ремонт подъездов
Социальное обслуживание и защита;все суды нам были отказаны во всем . Помогите нам пожалуйста нам очень нужна;Аварийное жилье/переселение
Социальное обслуживание и защита;27.07 одобрение было 12.08 В августе пришла выплата за 2 месяца почему так. Ребенок родился 15.03.2022. Я Смирнова Анастасия Сергеевна 06.01.92 район мотовилихинский;Дети и многодетные семьи
Благоустройство;проблема с проводами, они висят низко и;Уборка территорий
Социальное обслуживание и защита;крае в этом году будут ли новые филиаллы психоневрологические интернаты открываться и именно где и опстановка какая там? Просто вчера по новостям сказали что будет новыц филиал в оржденикисовском районе именно;Социальные учреждения
ЖКХ;жилья выросло на 33% с 1.02.2022г.?;Плата за ЖКУ и работа ЕИРЦ
ЖКХ;золотые. Может проверить нужно куда;Другие проблемы с общедомовой системой водоотведения (канализации)
Благоустройство;до принятия мер.Об опасном месте на;★ Открытые канализационные люки
Здравоохранение/Медицина;дочь с температурой 39 вызывала неотложка, на что;Очередь
Строительство и архитектура;И без ремонта лет 60 или;Архитектура города
ЖКХ;январь 3600 на тысячу больше обычного;Завышение платы за коммунальные услуги
Образование;путевки в лагеря малоимущим-многодетным семьям??;Детские оздоровительные лагеря
Благоустройство;прямо под носом растёт и никто его не;Борщевик Сосновского
Общественный транспорт;а не те выкидыши которые ездят.;Изменение класса и количества автобусов
Социальное обслуживание и защита;в этом году подработка для школьников по озеленению города;Занятость и трудоустройство
Здравоохранение/Медицина;больших районах, но и в маленьких. Деньги и жадность заменили их совесть и;Отсутствие аптек
Благоустройство;на ул.Макаренко? Как-то там тихо;Благоустройство общественного пространства (парк, сквер, пешеходная зона, бульвар, набережная, центральная улица или площадь)
Дороги;возможно, вы там не живете… а нам это слушать;Работа светофора (установка, изменение режима работы, оборудование кнопкой вызова)
Мусор/Свалки/ТКО;мусор возле леса с машины х589хн уаз;Выброс мусора нарушителем
ЖКХ;27 тоже затопило 3 этажа УК;Залитие квартиры
Благоустройство;дорог и тротуаров можно складировать грязный снег с дорог? Превращая город в монстра с;★ Нарушение правил уборки и вывоза загрязненного снега и наледи на газоне
Благоустройство;с Байкальской тоже идти до школы целый квест, грязь, открытые колодца, проход мимо бараков ( у которых балконы;★ Открытые канализационные люки
ЖКХ;когда Перми на чкалова 10 поменяют лифт он не работает;Лифт неисправен или отключен
Благоустройство;дворах оставляют один асфальт.Проще программу;Благоустройство придомовых территорий
Благоустройство;страшно. Не убирают от льда, не посыпают. (Это ул. Куйбышева от Чкалова;★ Нарушение правил уборки от снега и наледи детской игровой и спортивной площадки
Социальное обслуживание и защита;этажа без лифта, в ДК ВОС ходим на занятия, 3 этажа, благо папа по сб возит, и это ещё не;Создание доступной среды для инвалидов
Дороги;для примера на пл. Восстания, еще можно;★ Некачественно нанесенная разметка на проезжей части
ЖКХ;нас почти всю зиму так👇. Звонить в УК бесполезно. Полазна, ул. 50 лет Октября, 9;★ Наледь и сосульки на кровле
Дороги;от основного здания. А пока открыть проход.;Несанкционированное ограничение движения, помехи движению, захват земли в полосе отвода автодорог
Строительство и архитектура;не собираются отремонтировать к 300-летию города?;Состояние зданий учреждений и организаций
ЖКХ;'В подъездах ничего не убирается, кошки везде нагадили. За что;Ненадлежащая уборка подъездов и лифтов
Благоустройство;самовольно перегородиди, администрация района бездействует.;Самовольная установка ограждений на территории общего пользования
ЖКХ;'Здравствуйте!Тётя подала заявление через МФЦ на предоставление льготы на кап.ремонт по возрасту. Фонд кап.ремонта Пермского края адресовал к вам. Как оформить возврат денежных средств, уплаченных в фонд за 10 лет, когда тётя платила в возрасте с 70 до 80 лет ( тогда положена была компенсация 50% после 70-ти)? И как оформить возвраты денег за период, когда она оплачивала взносы с 80-ти лет? Сейчас ей 85. В квитанции за октябрь пришла;Сборы за капитальный ремонт
Благоустройство;в этом виноват? Кто это;Нарушение правил проведения земляных работ
ЖКХ;сделали), стены рушатся все в трещинах. И ПРИ ВСЕМ ЭТОМ ДОМ НЕ АВАРИЙНЫЙ, КАК ТАК? А вот;Перепланировка и реконструкция помещений
Здравоохранение/Медицина;поводу отвратительного питания в больнице?;★ Питание в медицинских учреждениях
Социальное обслуживание и защита;занятости по прежнему не трудоустраивают? Может быть?;Занятость и трудоустройство
Мусор/Свалки/ТКО;! Справится они не могут !;★ Отсутствие контейнерной площадки/Проезд к контейнерной площадке
Дороги;надо оборвать. Куда смотрит администрация.;Некачественно выполненный ремонт дорог
Дороги;пострадал - он схватился за капот и его протащило между колес. Об этом рассказала мама ребенка.На этот участок давно жалуются местные жители. Там знак пешеходного перехода стоит только в одном направлении. Кроме того, обзор закрывает мусорный контейнер, который, к тому же, протекает, из-за чего в холодное время образуется гололед.В администрации района жителям отвечают, что этим участком;Организация переходов, светофоров/Изменить организацию движения
Общественный транспорт;это.Тариф поднимают на билет, а автобусов в маршруте не добавляют.Им проще взять оплату за двойной автобус.Куда смотрятпроверяющие?;Льготы на проезд и тарифы
Торговля;всегда все свежее!!! А антисанитария не на территории рынка, а на территории между Чердынской 13 и 15 - совсем не из-за рынка. А от того, что территория якобы никому не принадлежит и обслуживать ее никто не хочет-и годами там мусор копится, аж ходить страшно. Территория рынка убирается и содержится в чистоте. Лучше бы администрация обратила внимание на круглосуточный магазин «вишенка»;★ Нестационарная торговля (киоски, павильоны, сезонная торговля)
Социальное обслуживание и защита;есть ёлка желаний для детей;Инвалиды
Физическая культура и спорт;внука в цирк. Пришлось высадить в районе института культуры, надеясь, что хоть и с опозданием, но доберутся на трамвае... Нет. Трамваи не ходят. Ребёнок первый раз в жизни поехал в цирк! Опоздают на полчаса минимум. это ужасно. Неужели нельзя продумывать такие крупные мероприятия так, чтоб жители Перми;Спортивные мероприятия
Мусор/Свалки/ТКО;ежедневно, теперь ужас - подойти нельзя, сам подход к площадке - Мусорка, подскажите, чтобы выполняли свои обязанности, мы деньги;★ Уборка/Вывоз мусора
Мусор/Свалки/ТКО;месяцев. Центр города. Мусор валяется прямо на;★ Отсутствие контейнерной площадки/Проезд к контейнерной площадке
Благоустройство;не сделали. Уже 28 число. По Чапаевой, начиная с;★ Нарушение правил уборки внутридворового проезда, пешеходной дорожки
Благоустройство;так и не сделали. Уже 28 число. По Чапаевой,;★ Нарушение правил уборки внутридворового проезда, пешеходной дорожки
ЖКХ;над жителями пос. Северного? Каждый год одно и то же, как весна, якобы трубы лежат в холодной воде, и из-за этого весь поселок остаётся Без Горячей воды!!! Почему ничего не;Отсутствие горячей воды
Торговля;купить продукты и всякие мелочи у дома. Загоняя людей в опустевшие торговые центры. А у нас в В. Курье, на 5линии 1а, стоит ржавый вагон, никто в нем не работает. Портит весь;★ Нестационарная торговля (киоски, павильоны, сезонная торговля)
Мобилизация;дня подачи документов или нет?;Зарплата, компенсации, поощрения, выплаты
Строительство и архитектура;у нас на поселке углеуральском на ул Серова стоит;Строительство зданий
Общественный транспорт;делам и как будет с оплатой?;Проблемы с социальными картами или проездными документами
Благоустройство;стык и упал.\n\nВ результате падения получил травму ноги - открытый перелом чашечки ноги.\n\nНа скорой помощи меня отвезли в больницу, где зашили рану и наложили гипс.\n\nПотом меня с родителями вызывали в полицию, где;★ Ненадлежащее состояние игровых элементов на детской или спортивной площадке
Коронавирус;Скажите, пожалуйста, где на сегодняшний день можно;Доступность вакцин
Общественный транспорт;Чернышевского. Объяснить она не сочла нужным.;Неудовлетворительные условия проезда в транспорте на действующем маршруте
Социальное обслуживание и защита;скажите пожалуйста а кто попадает на этот жилищный;Улучшение жилищных условий
Благоустройство;дороге, а на платных парковках;★ Нарушение правил уборки и вывоза загрязненного снега и наледи на газоне
Образование;еда, прописи и пр.?Или у нас в образовании бесплатное только аренда;Содержание гос. образовательных организаций
ЖКХ;уже со своими проблемами!Когда будет решена проблема???Много у кого так!;Плохое качество воды
Коронавирус;для ребёнка третьи сутки ждём, уже в страховую компанию обратилась, может так;Жалобы на врачей
Дороги;вопрос к нашей администрации: когда же всё-таки проведут обещанную рекультивацию? Водовод поменяли, дорогу перекопали, теперь ни проехать,;Строительство или реконструкция дорог
Мусор/Свалки/ТКО;платятся с человека или с метража;Плата за вывоз ТКО
Благоустройство;со стороны поликлиники номер2 по;★ Ненадлежащее состояние игровых элементов на детской или спортивной площадке
Социальное обслуживание и защита;справку с места учебы сына-первокурсника, который обучается в;Пенсионеры и ветераны
Газ и топливо;Заостровке нет газа? Может это;Восстановление газоснабжения
Здравоохранение/Медицина;не могу поставить первую часть;Вакцинация
Образование;спорт??? Как будто других способностей у детей нет. Почему не развивать естественно-научное направление, техническое направление?;Дополнительное образование
Дороги;где? Ездить невозможно, как после войны;Предложение дороги в план ремонта
Благоустройство;на угоре дорога к налоговой уже 2 недели скошена трава так и лежит гниёт;★ Ненадлежащее содержание зеленых насаждений (газонов)/деревьев и кустарников
Здравоохранение/Медицина;как быть , приобрела лекарства.Оказались нам они не подходят одно лекарство стоит 959Второе 637.Могу ли я сделать возврат.;Здравоохранение прочее
