Группа тем;Текст инцидента;Тема
Благоустройство;между гостиницей и монеткой, будьте осторожнееАнон;★ Открытые канализационные люки
Благоустройство;вон с лопатами откапываются, да дергают друг друга. Невозможно ездить, колеи ужасные, машину кидает из стороны в;★ Нарушение правил уборки от снега и наледи внутридворового проезда, тротуара, площади
ЖКХ;"подъезде. Они рассказали, что по ночам неизвестные ломают лифты, мусорят, разрушают почтовые ящики, а также спят бомжи. ""Жутко заходить в подъезд, везде бутылки"". Теперь пермяки";Ненадлежащая уборка подъездов и лифтов
Дороги;дорог сначала сделать, а то;Пробки
Образование;апреля или опять нет? Любому;Зарплата учителей
Коронавирус;Могу ли я попросить письменный;Коронавирус
Благоустройство;детям. Если бы упал маленький ребёнок, было бы намного;★ Ямы во дворах
Образование;принятия заявления в июле месяце, может ли школа 15 августа отказать в организации;Образовательный процесс
Коронавирус;г, +79082549979. У ребёнка красное горло и температура;Тесты на коронавирус
"МФЦ ""Мои документы""";документы на оформление субсидии через мфц.Где и у;"МФЦ ""Мои документы"""
Дороги;инцидента установили пешеходный переход.Не;Предложить установку нового лежачего полицейского (ИДН)
Здравоохранение/Медицина;Нытвенскую боьницу видемо тоже под их контролем был закуплен аппарат МРТ!!!! Уже наверно лет 4-5 прошло,а он;Нехватка материально-технического обеспечения
Мобилизация;выплату несовершеннолетним детям мобилизованного. как можно узнать;Поддержка семей мобилизованных
Благоустройство;,дети выросли уже, а площадок как не было ,так и нет ,в этом году ребятишек;Отсутствие детских площадок
Государственная собственность;стёкла, выносят металл. Или здание демонтируется собственником?;Региональное имущество
Дороги;красоты или галочки поставлены видимо? Где же наши депутаты? Жаль они не ходят пешком и не видят этого. А;Освещение неисправно или отсутствует
Образование;вечер! У наших 9классников проходит в онлайн только русский язык (один урок в день), других уроков нет☹ ни алгебры, ни информатики, ни физики....вообще НИЧЕГО ! Есть ли;Дистанционное образование
Благоустройство;что приедешь, а на твое место,;Самовольная установка ограждений на территории общего пользования
Дороги;'[club134244297|Администрация Губахи - Официальная страница], у нас не столбов,не;Освещение неисправно или отсутствует
ЖКХ;к кому обратиться. Наш дом( орджонекидзевский район, Гайва, ул. Мезенская, дои 26) снабжает водой колодец, воды в этом году катострофически не хватает, и мы с детьми рискуем остаться без воды совсем уже к концу месяца. Прошу помочь решить вопрос с подключением нашего;Подключение к водоснабжению
ЖКХ;'А что это за теплоэнерго? Случайно;Плата за ЖКУ и работа ЕИРЦ
Коронавирус;9 января можно где-то;Порядок и пункты вакцинации
Здравоохранение/Медицина;когда поступит вакцина, чтобы ребёнку поставить;Отсутствие лекарств в стационарах
ЖКХ;это когда устранят?;★ Протечки с кровли (системы водостока)
Государственная собственность;городе связанном с захватом площади Революции попом Сафонием при помощи администрации, против воли жителей;Региональное имущество
Экология;правительства не денег, не поверю. Воровать не нужно и деньги будут.;Выбросы вредных веществ в водоёмы/загрязнение водоёмов
Образование;пожалуйста, я хочу написать жалобу на воспитателя детского;Общее впечатление
ЖКХ;на крышах, сбивают сосули, я перестану тазы подставлять?;★ Протечки с кровли (системы водостока)
Общественный транспорт;машина не останавливаясь. Куда сообщить;Пешеходные переходы и жд переезды
Культура;Администрация АМО долго;Учреждения культуры
Благоустройство;имеются по благоустройству?;★ Отсутствие урн, лавочек в общественных местах и дворовой территории
ЖКХ;тишина. Куда еще. Писать?? Снег не чистится на крышах сугробы свисают. Сосульки до 1;★ Наледь и сосульки на кровле
Социальное обслуживание и защита;можно проверить было ли оно перечислено либо произошла какая то ошибка?;Задержка выплат гражданам
Погребение и похоронное дело;он платит моргу сумму за трупы. Но ведь мы тоже хотим работать и кушать!!! Просим Вас как то повлиять на сотрудников морга, запретить брать плату за трупы и организовать поочередность;Погребение и похоронное дело
Государственная собственность;на сегодняшний день.;Региональное имущество
Мусор/Свалки/ТКО;По телефону толковых;Плата за вывоз ТКО
Социальное обслуживание и защита;и в Губахе;Волонтерство
Дороги;обратиться, чтобы убрать здесь знак жилой зоны? И тогда будем биться за знаки о пешеходном переходе;Содержание дорожных знаков/Установка новых дорожных знаков, с внесением в схему дислокации, замена старых знаков на новые
"МФЦ ""Мои документы""";которую вы мне скинули. Все заполнил, отправил;"МФЦ ""Мои документы"""
Благоустройство;идти к стадиону;★ Подтопление территории
Строительство и архитектура;"""Библиотека"" ул.Мехоношина,19? 2. В данном здании какие остаются организации? Александровск, ул.";Состояние зданий учреждений и организаций
Здравоохранение/Медицина;радиологии,хочу пожаловаться на зав. отделением.Попросила проводить процедуру в первой половине дня,так как во второй неважно себя чувствую.Так вообще меня из вредности,во вторую смену вечером поставила,чтобы не надоедала ей своим пребыванием здесь.Естественно я очень разнервничалась,может ли зав.отделением доводить;Хамство медицинских работников
Образование;школы Дети в войну не учились в таких условиях.;Содержание гос. образовательных организаций
Образование;рабочий день закончен?Это всё;Безопасность образовательного процесса
Экология;по ночам на Коксе? Дома дышать не возможно вонь стоит от;Выбросы вредных веществ в атмосферу/загрязнение воздуха
ЖКХ;света на Широковском. Почему нет света;Отсутствие электричества
Образование;край, служебное жилье для учителей?;Социальная поддержка учителей
Общественный транспорт;путь не близкий... Почему не;Добавить новый маршрут
Социальное обслуживание и защита;губернаторские выплаты в пермском крае.;Задержка выплат гражданам
Дороги;Также необходимо восстановить профильные листы;Необходима установка и замена дорожных ограждений
Образование;'Добрый день.Прошу разъяснить вопрос: на каких основаниях законным представителям детей не разрешают проход на территории школ?Родители являются участниками обучающего процесса по закону(ст. 2 п. 31 Федерального закона;Образовательный процесс
Образование;вечер! Подскажите выделяет ли государство или край, служебное жилье для учителей?;Социальная поддержка учителей
Дороги;летят на обгон, пешеходов не пропускают,;Предложить установку нового лежачего полицейского (ИДН)
Образование;разработку по должности?;ЕГЭ, ОГЭ
Здравоохранение/Медицина;ул Фонтанная дом 5 КВ 27 . Неотложки до сих пор нету звонила 270-09-03 сказали бригаду отправили ждите приедет и до сих пор никого нет.прошу;★ Оказание медицинской помощи не в полном объеме/отказ в оказании медицинской помощи
Дороги;светофора, так как поворот на лево производится общественным транспортом, что подвергает опасности как пешеходов, которые постоянно там проходят/проезжают как хотят, так и автомобили, которые каким то образом должны;Работа светофора (установка, изменение режима работы, оборудование кнопкой вызова)
Дороги;сначала до конца положат асфальт у дома на Веденеева;Нарушение технологии и (или) сроков производства работ
Образование;восстановят ДК до божеского состояния?! Это же ДК, а не мастерская;Содержание гос. образовательных организаций
Памятники и объекты культурного наследия;Жихареве? Завершилась проработка?;Памятники и объекты культурного наследия
Общественный транспорт;'Хочу спросить зачем убирают кондукторов с 77 маршрута с15 числа,для чего,что начальство,которое изДагестана не;Неудовлетворительные условия проезда в транспорте на действующем маршруте
Мусор/Свалки/ТКО;содержание контейнерных площадок? В д. Запольская уже сетку;Проблемы с контейнерами
Образование;пожалуйста, как получить сертификат пфдо?;Дополнительное образование
Образование;по профильной математике официальная?;ЕГЭ, ОГЭ
Дороги;мокнут. Обещают в 2023 году сделать, а как щас то быть. Хотя бы временную какую нибудь установили;Освещение неисправно или отсутствует
Дороги;дорожники себе не изменяют😁😁иначе пешеходам будет легко жить.;Ливневые канализации (строительство и реконструкция)
Благоустройство;было, так и нет (участок;★ Отсутствие урн, лавочек в общественных местах и дворовой территории
ЖКХ;'А когда начнут ремонтировать муниципальных домов в;Перепланировка и реконструкция помещений
ЖКХ;, купите питьевую воду в магазине, или;Плохое качество воды
Безопасность;'Где отлов собак. Ждем когда;Отлов безнадзорных собак и кошек
Образование;по учёбе. Что делать.;Выплаты стипендий
Образование;градусов!!! Дети ходят в двух кофтах и в теплых штанах с колготками. Воспитатели;Проблемы с отоплением детских садов и школ
Социальное обслуживание и защита;Кизеле? Наверное надо везде;Волонтерство
Благоустройство;день! Ничего не;★ Нарушение правил уборки и вывоза порубочных остатков
ЖКХ;января выбрали управляющую компанию на;Плата за ЖКУ и работа ЕИРЦ
ЖКХ;осени не решается.Фото;★ Прорыв трубы/трубопровода
Газ и топливо;'Газификация д. Куземьярово;Сроки газификации
Строительство и архитектура;стоит у ЖД вокзала, ее отремонтировали, а ёмкость которая внутри используют как пожарная.Зачем сразу ломать?Вообще это объект РЖД;Состояние зданий учреждений и организаций
Газ и топливо;конечно только чтоб подвести газ к дому;Стоимость, оплата и возврат средств на газификацию
Культура;новогоднюю ночь фейерверк?;Культурно-досуговые мероприятия
Газ и топливо;сад в д. Олени будут проводить газ ? Садоводы;Восстановление газоснабжения
Дороги;с данным вопросом? И почему администрация района не уследила за тем, что бы асфальт сделали добросовестно и качественно, с трубами под ними, а не просто тяп-ляп? P.S- Если кто;Некачественно выполненный ремонт дорог
Культура;что в Перми пройдёт мистический фестиваль страха? Если правда, то как такое может произойти в наше не спокойное время, когда идёт;Учреждения культуры
ЖКХ;Кирова, 7 скоро будет хуже, чем в домах по 3 Интернационала. УК «￼Алекс Уют», сделайте ремонт! За;Некачественный капитальный ремонт
Социальное обслуживание и защита;района город Пермь?;Социальные учреждения
Газ и топливо;газовая колонка стоит;Восстановление газоснабжения
Образование;армию по призыву, сохранится ли она у меня?;Образовательный процесс
Образование;языку обязательным и когда? И обязателен ли сейчас второй;ЕГЭ, ОГЭ
Мусор/Свалки/ТКО;адресу:гремячинск ул. Шахтёрскрая, и;Проблемы с контейнерами
Общественный транспорт;вернуть в планы остановку;Отсутствие остановочных пунктов
Образование;не хотят построить?;Строительство школ, детских садов
Экология;'В городе сегодня;Выбросы вредных веществ в атмосферу/загрязнение воздуха
Дороги;необходимо восстановить украденное ограждение на;Необходима установка и замена дорожных ограждений
Дороги;или кто то;Нарушение технологии и (или) сроков производства работ
Общественный транспорт;площади Дружбы, 36 и;Добавить новый маршрут
Благоустройство;и детсад, и колледж.;★ Открытые канализационные люки
ЖКХ;'Сообщение без текста;Плохое качество воды
Дороги;это было всегда так то. Не больше не меньше. Делать то делают, правда с каким качеством. Тактильной плитке по программе желтые линии фактически конец пришёл. Это то, что делалось для инвалидов. 10 млн рублей в трубу. Зачем? Не понятно. Год плитка простояла и всё.На фото столб стоит посередине тротуара это норма? )Нам около дома конечно заборчик сделали, спасибо пзсп, но от города мы так и не дождались ничего. Дети;Содержание, ремонт и обустройство тротуаров
Образование;другое время,при этом они;Дополнительное образование
ЖКХ;очень бы хотелось знать, когда снесут дом по улице.Левченко 38. Не дом, а привидение среди высоток. Что внешне, что внутренне - он рассыпается на глазах. Снести этот дом обещают давно, но получается это только на словах. А ведь там живут люди - дети, старики. Часто болеют, потому что там прекрасно;Непригодные для проживания жилые помещения
Образование;лучше будет сделать?;ЕГЭ, ОГЭ
Благоустройство;Кто должен её чистить? Родители?!;★ Нарушение правил уборки от снега и наледи детской игровой и спортивной площадки
ЖКХ;так же!!!! И тоже сделан косметический;Ремонт подъездов
ЖКХ;пенсионер 73г. получает компенсацию за кап. ремонт, подскажите если он оформит временную регистрацию по месту пребывания на 3 месяца для внучки, будет ли;Сборы за капитальный ремонт
ЖКХ;и решения проблемы.;Отсутствие холодной воды
Роспотребнадзор;укусами. Со слов детей, после жалоб на укусы клопов комнату, в которой проживал отряд, чем-то обработал молодой вожатый. После чего, детей вновь поселили в этой же комнате. Несмотря на обработку, клопа снова вернулись. При этом сотрудники лагеря больше ничего не предприняли. Женщина написала пост в группе оздоровительного;Санитарно-эпидемиологическое благополучие
Образование;июне детские площадки в Юности на;Дополнительное образование
Погребение и похоронное дело;констатацию смерти раздает визитки похоронной;Погребение и похоронное дело
Коронавирус;'Реально получить медотвод с аденомой головного;Сертификаты и QR-коды
Социальное обслуживание и защита;"""Путинские выплаты"" не";Оказание гос. соц. помощи
ЖКХ;решает, никаких действий не принимают, надо действительно Махонину писать;Лифт неисправен или отключен
Общественный транспорт;рано утром в праздник в 77;Изменение класса и количества автобусов
Благоустройство;'А карманы парковочные в районе перекрестка Ленина-Попова за чем;Обустройство асфальтового покрытия парковки, внутридворового проезда, тротуара, пешеходной дорожки, въезда во двор
Здравоохранение/Медицина;телепнет не по одному разу. Нам чтоб;Отсутствие лекарств в аптеках
Культура;'Где фото команды;Учреждения культуры
Коронавирус;сейчас не берут анализы на жту заразу. Когда они появяттся?;Тесты на коронавирус
ЖКХ;крыши на каболевского 21, стало топить квартиры 3 и 4 этажа, в УК говорят что виноваты балконы на 4;★ Протечки с кровли (системы водостока)
Общественный транспорт;"на эту женщину как ""резаные свиньи""!Даже стало противно и не комфортно находиться в транспорте.Они орали на женщину всю дорогу, она пыталась им что-то ответить, но они её перебивали, и орали ещё громче, а водитель вообще почти не смотрел на дорогу, потому что был занят извержением отвратительного крика из своего рта!И это уже не первый инцидент";Некорректное поведение водительского состава
Государственная собственность;ул.Революции? Средь бела;Региональное имущество
Здравоохранение/Медицина;суд добиваться? Да пока бегаешь телепнет не по одному разу. Нам чтоб выписали аналог препарата от эпилепсии пришлось идти;Отсутствие лекарств в аптеках
Мусор/Свалки/ТКО;перерабатывающие мусор заводы?;Строительство объектов по обращению с отходами
Здравоохранение/Медицина;отделении, нет почти мест..на 1;Нехватка или сокращение врачей и медицинских учреждений
Социальное обслуживание и защита;В СОЦ,. ЗАЩИТЕ ВООБЩЕ;Социальные учреждения
Безопасность;'Здравствуйте, подскажите покакому адресу возможно;Беженцы
Коронавирус;оак 3марта, мазок взяли этого же числа, А сделан;Самоизоляция и карантин
Дороги;чтобы не стоять в пробке с Гайвы до моста.Пожалуйста,;Пробки
Газ и топливо;6 месяцев без газа счёт за электроэнергию в 4 раза выше чем с газом;Восстановление газоснабжения
Благоустройство;у тротуара поребрики, с;Установка ограждений, препятствующих въезду на тротуар, газон на дворовой территории МКД
Здравоохранение/Медицина;заводской улице нет аптеки;Отсутствие аптек
Благоустройство;написала в группу вк администрации. Пешеходные переходы, которые нормально освещены в городе, можно по пальцам пересчитать. У нас;Отсутствие фонарей освещения
ЖКХ;'Юбилейная 118 тоже;Низкая температура воды/слабое давление
Здравоохранение/Медицина;ваших мобильных пунктах?;Вакцинация
Газ и топливо;чуть выше мрот.спасибо родные;Стоимость, оплата и возврат средств на газификацию
ЖКХ;водой проблемы постоянно, сети;Жалобы на управляющие компании
Электроснабжение;на жалобу в Пермэнерго нет.Не;Качество электроснабжения
Общественный транспорт;снегом и ветрами, а тут;Отсутствие остановочных пунктов
Благоустройство;пжл в детском парке у пруда,сделали лавочки,все украсили,сделали туалет можно узнать почему он не работает?идёшь с детьми гулять;Отсутствие общественных туалетов
Здравоохранение/Медицина;через 28 дней.Понятно, что есть выход -купить, кто-то возместит;Отсутствие лекарств в стационарах
Мусор/Свалки/ТКО;сухого мусора только один контейнер и 7-10 для смешанных отходов!!!О каком раздельном сборе можно говорить?Отсутствуют контейнеры для пластика!А про контейнеры для стекла и бумаги и не вспоминает никто.Всё сухие отходы;Раздельная сортировка отходов
Здравоохранение/Медицина;с 60-летним юбилеем даже не поздравили. Хоть бы руку пожали,;Социальная поддержка медперсонала
Физическая культура и спорт;будут соревнования по;Спортивные мероприятия
Благоустройство;конкурс для организации?;★ Неисправные фонари освещения
Социальное обслуживание и защита;по поводу волонтёрста;Волонтерство
Культура;1100 ребят, которые посетят губернаторскую ёлку?;Культурно-досуговые мероприятия
Здравоохранение/Медицина;диспансеризации, кроме этого вычитают из зарплаты, если;Низкая заработная плата врачей
Здравоохранение/Медицина;утро)! Что входит в диспансеризацию? Я с 1957 года. И;Диспансеризация
Коронавирус;Он что не действует? В школе требуют МАСКИ! В департаменте образования говорят,что не видели;Коронавирусные ограничения
Строительство и архитектура;приём? Почему не сделать приемы по по меркам, запись. Я сама сидела в очереди;Строительство социальных объектов
Социальное обслуживание и защита;'Здравствуйте, напишите телефон или адрес, с кем связаться, по;Волонтерство
Социальное обслуживание и защита;судья. Я не знаю, что мне делать???!!! Ошибка в предложении. Смотрите;Занятость и трудоустройство
Газ и топливо;'Газификация д. Куземьярово;Сроки газификации
Государственная собственность;обратится для выкупа заброшенного земельного;Региональное имущество
Общественный транспорт;ходить до висима, и;Изменить или отменить маршрут
Газ и топливо;родные за заботу.;Стоимость, оплата и возврат средств на газификацию
Образование;'Здравствуйте, подскажите пожалуйста,;Дополнительное образование
Благоустройство;если будут стоять закрытыми?;Отсутствие общественных туалетов
Здравоохранение/Медицина;невозможно.С прошлого года;★ Оказание медицинской помощи не в полном объеме/отказ в оказании медицинской помощи
Образование;'У ребёнка в классе 2 ребёнка болеют ковидом, но класс не выводят на карантин,;Дистанционное образование
Образование;или край, служебное жилье для;Социальная поддержка учителей
Социальное обслуживание и защита;ул.мира и ул.Дениса Давыдова. Там;Создание доступной среды для инвалидов
Дороги;что так им выгодней?!;Организация парковок
Мусор/Свалки/ТКО;'На ул.Пушкарская,92 до;★ Уборка/Вывоз мусора
Общественный транспорт;так например выглядит;Содержание остановок
Благоустройство;с заездом, с парковками по ул.Космонавтов, 2 и;Благоустройство придомовых территорий
Здравоохранение/Медицина;телефону ЗАВТРА с 8часов, а сегодня нельзя, по тому что у неё ... НЕ ПЕРВАЯ СМЕНА !Когда по единственному каналу связи для населения можно будет ПРОСТО;★ Просьбы о лечении
Дороги;И я не вижу, а;Ремонт/строительство мостов
Безопасность;поделиться своим урожаем.;Беженцы
Благоустройство;поводу расчистки от снега хоккейной коробки. Кто должен её чистить?;★ Нарушение правил уборки от снега и наледи детской игровой и спортивной площадки
Коронавирус;дозвониться на горячую;Проблемы в работе горячих линий
Безопасность;для горожан. Если;Безопасность общественных пространств
Общественный транспорт;верните кондукторов на;Проблемы с социальными картами или проездными документами
Мусор/Свалки/ТКО;Войкова перед мостом. Нравится грязный город?;Выброс мусора нарушителем
ЖКХ;во дворе дома ул. Льва;Дезинфекция МКД
Здравоохранение/Медицина;как пройти углубленную;Диспансеризация
ЖКХ;суток воду отключают.;Отсутствие холодной воды
Физическая культура и спорт;? Какого события они ждут ? Району необходим спортивный центр и бассейн ( в;Строительство спортивной инфраструктуры
Спецпроекты;очереди с 2013 года.;Спецпроекты
Благоустройство;проведено обещанное обследование лесенки от Вышка-2 к остановке;Разрушение тротуаров и пешеходных дорожек
Здравоохранение/Медицина;узнать насчет земская медсестра. У нас в пермском крае есть такая помощь медсестрам и еще хотела бы;Социальная поддержка медперсонала
Дороги;а с этой прям беда. Или может кто-то;Ремонт/строительство мостов
ЖКХ;месяцОткуда взялся долг?;Сборы за капитальный ремонт
ЖКХ;вот эти пол года, наша администрация всё решает и решает, никаких действий не принимают, надо действительно Махонину писать;Лифт неисправен или отключен
Коронавирус;будут соблюдены. Кроме того, отец - это такой же родитель, и он имеет полное право присутствовать на родах. Роддома, вводя подобные ограничения, этому;Коронавирусные ограничения
Строительство и архитектура;'Здравствуйте. А где отчёт по строительству микрорайона Любимов за июль?🙏🏻🙏🏻🙏🏻;Строительство зданий
Благоустройство;вдоль дома 42, а далее вдоль лестниц? И ещё;Отсутствие фонарей освещения
ЖКХ;мне нравится нависшая с крыши глыба на доме,где магазин Гурман,с боку,люди поднимаются или спускаются по лесенкам и думаешь шибанёт или нет кого-то,ежегодная проблема,даже когда чистят крышу этого дома над подъездами собьют снег и со стороны дет.библиотеки,а по;★ Наледь и сосульки на кровле
Мобилизация;вот что решать;Поддержка семей мобилизованных
Физическая культура и спорт;пожалуйста, какие справки нужны;Спортивные мероприятия
Социальное обслуживание и защита;стою на очереди на квартиру уже 26;Улучшение жилищных условий
Дороги;впрок ? Или в порядок приведут;Некачественно выполненный ремонт дорог
Мусор/Свалки/ТКО;два контейнера а;★ Стихийные свалки в городе/в парках/в лесу
Социальное обслуживание и защита;а если сам инвалид решиться купить самостоятельно, то компенсация смешная! Купил за;Инвалиды
Коронавирус;тест - в ковид центре;Жалобы на врачей
ЖКХ;двери так же!!!! И тоже сделан;Ремонт подъездов
Здравоохранение/Медицина;'Доброе утро, в данный момент стою повторно;Очередь
Образование;'Здравствуйте. Будет ли ЕГЭ по иностранному языку обязательным;ЕГЭ, ОГЭ
Физическая культура и спорт;с вагончиками, на;Строительство спортивной инфраструктуры
Социальное обслуживание и защита;"'Моему брату 56 лет,работу найти не может,и на учёт не ставят..дают ""бегунок"",а там такие специалисты требуются,уж точно не для него..как человеку выживать?..даже эти несчастные копейки от ц.занятости не получает(1700)у нас в городе.Вот так и делаю бомжей..";Занятость и трудоустройство
