id;Группа тем;Тема
64;Благоустройство;Ливневые канализации (строительство и реконструкция)
65;Дороги;Содержание, ремонт и обустройство тротуаров
66;Социальное обслуживание и защита;Оказание гос. соц. помощи
67;Социальное обслуживание и защита;Оказание гос. соц. помощи
68;Дороги;Пробки
69;Мусор/Свалки/ТКО;★ Уборка/Вывоз мусора
70;Социальное обслуживание и защита;Дети и многодетные семьи
71;Благоустройство;Обустройство асфальтового покрытия парковки, внутридворового проезда, тротуара, пешеходной дорожки, въезда во двор
72;Общественный транспорт;Пенсионеры и ветераны
73;Благоустройство;Самовольная установка ограждений на территории общего пользования
74;Здравоохранение/Медицина;Содержание больниц
75;Здравоохранение/Медицина;Содержание больниц
76;Благоустройство;Благоустройство общественного пространства (парк, сквер, пешеходная зона, бульвар, набережная, центральная улица или площадь)
77;Здравоохранение/Медицина;★ Оказание медицинской помощи не в полном объеме/отказ в оказании медицинской помощи
78;Мусор/Свалки/ТКО;Плата за вывоз ТКО
79;Образование;Выплаты стипендий
80;Социальное обслуживание и защита;Дети и многодетные семьи
81;Дороги;★ Нарушение правил очистки дорог от снега и наледи/Обращения о необходимости очистить тротуар от снега и наледи
82;Социальное обслуживание и защита;Оказание гос. соц. помощи
83;Общественный транспорт;Пенсионеры и ветераны
84;Благоустройство;Уборка территорий
85;Образование;Питание
86;Здравоохранение/Медицина;Очередь
87;Здравоохранение/Медицина;Профильный осмотр
88;Здравоохранение/Медицина;★ Оказание медицинской помощи не в полном объеме/отказ в оказании медицинской помощи
89;Общественный транспорт;Изменить или отменить маршрут
90;Дороги;★ Нарушение правил очистки дорог от снега и наледи/Обращения о необходимости очистить тротуар от снега и наледи
91;Социальное обслуживание и защита;Оказание гос. соц. помощи
92;Социальное обслуживание и защита;Дети и многодетные семьи
93;Здравоохранение/Медицина;Технические проблемы с записью на прием к врачу
94;ЖКХ;Сборы за капитальный ремонт
95;Здравоохранение/Медицина;Профильный осмотр
96;Образование;Низкая температура воды/слабое давление
97;Мусор/Свалки/ТКО;Плата за вывоз ТКО
98;Здравоохранение/Медицина;Технические проблемы с записью на прием к врачу
99;Социальное обслуживание и защита;Оказание гос. соц. помощи
100;Благоустройство;★ Нарушение правил уборки от снега и наледи внутридворового проезда, тротуара, площади
101;ЖКХ;Ненадлежащее качество или отсутствие отопления
102;Общественный транспорт;Изменить или отменить маршрут
103;ЖКХ;Плата за ЖКУ и работа ЕИРЦ
104;Социальное обслуживание и защита;Дети и многодетные семьи
105;Социальное обслуживание и защита;Дети и многодетные семьи
106;Мусор/Свалки/ТКО;★ Уборка/Вывоз мусора
107;ЖКХ;Ненадлежащее качество или отсутствие отопления
108;Здравоохранение/Медицина;Технические проблемы с записью на прием к врачу
109;Социальное обслуживание и защита;Дети и многодетные семьи
110;Здравоохранение/Медицина;Содержание больниц
111;Общественный транспорт;Проблемы с социальными картами или проездными документами
112;Социальное обслуживание и защита;Дети и многодетные семьи
113;Дороги;★ Нарушение правил очистки дорог от снега и наледи/Обращения о необходимости очистить тротуар от снега и наледи
114;Дороги;★ Нарушение правил очистки дорог от снега и наледи/Обращения о необходимости очистить тротуар от снега и наледи
115;Социальное обслуживание и защита;Дети и многодетные семьи
116;ЖКХ;Завышение платы за коммунальные услуги
117;Здравоохранение/Медицина;Технические проблемы с записью на прием к врачу
118;Социальное обслуживание и защита;Оказание гос. соц. помощи
119;Благоустройство;Ремонт дороги
120;Здравоохранение/Медицина;★ Оказание медицинской помощи не в полном объеме/отказ в оказании медицинской помощи
121;Общественный транспорт;Изменить или отменить маршрут
122;Здравоохранение/Медицина;Отсутствие лекарств в аптеках
123;Здравоохранение/Медицина;Ошибки врачей, халатность
124;ЖКХ;Плата за ЖКУ и работа ЕИРЦ
125;Социальное обслуживание и защита;Оказание гос. соц. помощи
126;Социальное обслуживание и защита;Дети и многодетные семьи
127;Социальное обслуживание и защита;Дети и многодетные семьи
128;Здравоохранение/Медицина;Нехватка или сокращение врачей и медицинских учреждений
129;ЖКХ;График движения общественного транспорта
130;Газ и топливо;Запрос на газификацию и её условия
131;ЖКХ;Жалобы на управляющие компании
132;Благоустройство;Благоустройство общественного пространства (парк, сквер, пешеходная зона, бульвар, набережная, центральная улица или площадь)
133;Дороги;Организация парковок
134;Мусор/Свалки/ТКО;★ Уборка/Вывоз мусора
135;ЖКХ;Жалобы на управляющие компании
136;Дороги;★ Нарушение правил очистки дорог от снега и наледи/Обращения о необходимости очистить тротуар от снега и наледи
137;Социальное обслуживание и защита;Оказание гос. соц. помощи
138;Здравоохранение/Медицина;Очередь
139;Здравоохранение/Медицина;Технические проблемы с записью на прием к врачу
140;Благоустройство;★ Нарушение правил уборки и вывоза загрязненного снега и наледи на газоне
141;Образование;Социальная поддержка учителей
142;Здравоохранение/Медицина;★ Оказание медицинской помощи не в полном объеме/отказ в оказании медицинской помощи
143;Социальное обслуживание и защита;Дети и многодетные семьи
144;Социальное обслуживание и защита;Дети и многодетные семьи
145;Социальное обслуживание и защита;Дети и многодетные семьи
146;Мусор/Свалки/ТКО;★ Уборка/Вывоз мусора
147;Здравоохранение/Медицина;Технические проблемы с записью на прием к врачу
148;Общественный транспорт;Отсутствие остановочных пунктов
149;Социальное обслуживание и защита;Оказание гос. соц. помощи
150;Связь и телевидение;★ Информационно-техническая поддержка
151;Здравоохранение/Медицина;Профильный осмотр
152;Социальное обслуживание и защита;Дети и многодетные семьи
153;Здравоохранение/Медицина;Содержание больниц
154;Здравоохранение/Медицина;★ Оказание медицинской помощи не в полном объеме/отказ в оказании медицинской помощи
155;Здравоохранение/Медицина;★ Оказание медицинской помощи не в полном объеме/отказ в оказании медицинской помощи
156;Дороги;★ Нарушение правил очистки дорог от снега и наледи/Обращения о необходимости очистить тротуар от снега и наледи
157;Благоустройство;Благоустройство общественного пространства (парк, сквер, пешеходная зона, бульвар, набережная, центральная улица или площадь)
158;Социальное обслуживание и защита;Оказание гос. соц. помощи
159;Социальное обслуживание и защита;Дети и многодетные семьи
160;ЖКХ;Ненадлежащее качество или отсутствие отопления
161;Коронавирус;Жалобы на врачей
162;ЖКХ;Отсутствие холодной воды
163;Мусор/Свалки/ТКО;Плата за вывоз ТКО
164;Социальное обслуживание и защита;Дети и многодетные семьи
165;Здравоохранение/Медицина;★ Оказание медицинской помощи не в полном объеме/отказ в оказании медицинской помощи
166;Общественный транспорт;Пенсионеры и ветераны
167;Социальное обслуживание и защита;Оказание гос. соц. помощи
168;Здравоохранение/Медицина;★ Оказание медицинской помощи не в полном объеме/отказ в оказании медицинской помощи
169;Благоустройство;★ Ненадлежащее содержание зеленых насаждений (газонов)/деревьев и кустарников
170;Мусор/Свалки/ТКО;★ Уборка/Вывоз мусора
171;Связь и телевидение;★ Информационно-техническая поддержка
172;Благоустройство;Уборка территорий
173;Социальное обслуживание и защита;Оказание гос. соц. помощи
174;ЖКХ;★ Засор в общедомовой системе водоотведения (канализации)
175;Дороги;★ Нарушение правил очистки дорог от снега и наледи/Обращения о необходимости очистить тротуар от снега и наледи
176;Здравоохранение/Медицина;Очередь
177;Благоустройство;Благоустройство общественного пространства (парк, сквер, пешеходная зона, бульвар, набережная, центральная улица или площадь)
178;Дороги;Отлов безнадзорных собак и кошек
179;Здравоохранение/Медицина;★ Оказание медицинской помощи не в полном объеме/отказ в оказании медицинской помощи
180;Дороги;Занятость и трудоустройство
181;Здравоохранение/Медицина;Технические проблемы с записью на прием к врачу
182;Здравоохранение/Медицина;Технические проблемы с записью на прием к врачу
183;Здравоохранение/Медицина;Нехватка или сокращение врачей и медицинских учреждений
184;Общественный транспорт;Неудовлетворительные условия проезда в транспорте на действующем маршруте
185;Здравоохранение/Медицина;Проблемы с контейнерами
186;Благоустройство;★ Нарушение правил уборки от снега и наледи внутридворового проезда, тротуара, площади
187;Социальное обслуживание и защита;Оказание гос. соц. помощи
188;Социальное обслуживание и защита;Оказание гос. соц. помощи
189;Социальное обслуживание и защита;Оказание гос. соц. помощи
190;Здравоохранение/Медицина;Профильный осмотр
191;ЖКХ;Плата за ЖКУ и работа ЕИРЦ
192;Социальное обслуживание и защита;Дети и многодетные семьи
193;Дороги;Занятость и трудоустройство
194;Здравоохранение/Медицина;Технические проблемы с записью на прием к врачу
195;ЖКХ;Ненадлежащее качество или отсутствие отопления
196;Дороги;Предложить установку нового лежачего полицейского (ИДН)
197;Благоустройство;★ Подтопление территории
198;Общественный транспорт;Проблемы с социальными картами или проездными документами
199;Здравоохранение/Медицина;Ошибки врачей, халатность
200;Благоустройство;Уборка территорий
201;Социальное обслуживание и защита;Дети и многодетные семьи
202;Здравоохранение/Медицина;Диспансеризация
203;Общественный транспорт;Изменить или отменить маршрут
204;Дороги;Содержание, ремонт и обустройство тротуаров
205;Дороги;Занятость и трудоустройство
206;Социальное обслуживание и защита;Дети и многодетные семьи
207;Мусор/Свалки/ТКО;★ Уборка/Вывоз мусора
208;Дороги;Занятость и трудоустройство
209;Образование;Дополнительное образование
210;Благоустройство;Благоустройство общественного пространства (парк, сквер, пешеходная зона, бульвар, набережная, центральная улица или площадь)
211;Дороги;Занятость и трудоустройство
212;Социальное обслуживание и защита;Дети и многодетные семьи
213;Благоустройство;Ливневые канализации (строительство и реконструкция)
214;Образование;Низкая температура воды/слабое давление
215;Образование;Зарплата учителей
216;Дороги;Работа светофора (установка, изменение режима работы, оборудование кнопкой вызова)
217;ЖКХ;Жалобы на управляющие компании
218;Коронавирус;Доступность вакцин
219;Здравоохранение/Медицина;Нехватка или сокращение врачей и медицинских учреждений
220;Социальное обслуживание и защита;Оказание гос. соц. помощи
221;Социальное обслуживание и защита;Оказание гос. соц. помощи
222;Строительство и архитектура;Строительство зданий
223;ЖКХ;Ненадлежащее содержание и эксплуатация МКД
224;Здравоохранение/Медицина;★ Просьбы о лечении
225;Образование;Образовательный процесс
226;Социальное обслуживание и защита;Дети и многодетные семьи
227;Социальное обслуживание и защита;Дети и многодетные семьи
228;Мусор/Свалки/ТКО;Плата за вывоз ТКО
229;Мусор/Свалки/ТКО;★ Уборка/Вывоз мусора
230;Здравоохранение/Медицина;★ Оказание медицинской помощи не в полном объеме/отказ в оказании медицинской помощи
231;Социальное обслуживание и защита;Дети и многодетные семьи
232;Здравоохранение/Медицина;Технические проблемы с записью на прием к врачу
233;Социальное обслуживание и защита;Дети и многодетные семьи
234;Здравоохранение/Медицина;Проблемы с контейнерами
235;ЖКХ;Отсутствие холодной воды
236;Дороги;★ Нарушение правил очистки дорог от снега и наледи/Обращения о необходимости очистить тротуар от снега и наледи
237;Мусор/Свалки/ТКО;Ямы и выбоины на дороге
238;Социальное обслуживание и защита;Дети и многодетные семьи
239;ЖКХ;Отсутствие холодной воды
240;Социальное обслуживание и защита;Оказание гос. соц. помощи
241;Здравоохранение/Медицина;Технические проблемы с записью на прием к врачу
242;Общественный транспорт;Пенсионеры и ветераны
243;Здравоохранение/Медицина;Технические проблемы с записью на прием к врачу
244;Дороги;★ Нарушение правил очистки дорог от снега и наледи/Обращения о необходимости очистить тротуар от снега и наледи
245;Здравоохранение/Медицина;Отсутствие лекарств в стационарах
246;Мусор/Свалки/ТКО;★ Уборка/Вывоз мусора
247;Дороги;Занятость и трудоустройство
248;Социальное обслуживание и защита;Дети и многодетные семьи
249;Образование;Образовательный процесс
250;ЖКХ;Завышение платы за коммунальные услуги
251;Образование;Образовательный процесс
252;Благоустройство;Социальные учреждения
253;ЖКХ;Отсутствие горячей воды
254;Социальное обслуживание и защита;Аварийное жилье/переселение
255;Благоустройство;Уборка территорий
256;Благоустройство;Уборка территорий
257;ЖКХ;Некачественный капитальный ремонт
258;ЖКХ;Непригодные для проживания жилые помещения
259;Коронавирус;Порядок и пункты вакцинации
260;ЖКХ;★ Протечки с кровли (системы водостока)
261;Благоустройство;Предложение по благоустройству
262;Образование;Низкая температура воды/слабое давление
263;ЖКХ;★ Открытые канализационные люки
264;Социальное обслуживание и защита;Дети и многодетные семьи
265;Социальное обслуживание и защита;Дети и многодетные семьи
266;Социальное обслуживание и защита;Оказание гос. соц. помощи
267;Дороги;★ Нарушение правил очистки дорог от снега и наледи/Обращения о необходимости очистить тротуар от снега и наледи
268;Социальное обслуживание и защита;Дети и многодетные семьи
269;Здравоохранение/Медицина;Очередь
270;Социальное обслуживание и защита;Оказание гос. соц. помощи
271;Здравоохранение/Медицина;Технические проблемы с записью на прием к врачу
272;Безопасность;Некорректное поведение водительского состава
273;Коронавирус;Тесты на коронавирус
274;Дороги;★ Нарушение правил очистки дорог от снега и наледи/Обращения о необходимости очистить тротуар от снега и наледи
275;Здравоохранение/Медицина;★ Питание в медицинских учреждениях
276;Дороги;★ Нарушение правил очистки дорог от снега и наледи/Обращения о необходимости очистить тротуар от снега и наледи
277;ЖКХ;Спецпроекты
278;ЖКХ;Плата за ЖКУ и работа ЕИРЦ
279;Дороги;★ Нарушение правил очистки дорог от снега и наледи/Обращения о необходимости очистить тротуар от снега и наледи
280;Мусор/Свалки/ТКО;★ Уборка/Вывоз мусора
281;Социальное обслуживание и защита;Оказание гос. соц. помощи
282;Здравоохранение/Медицина;★ Оказание медицинской помощи не в полном объеме/отказ в оказании медицинской помощи
283;Здравоохранение/Медицина;Профильный осмотр
284;Здравоохранение/Медицина;Нехватка или сокращение врачей и медицинских учреждений
285;Дороги;Занятость и трудоустройство
286;Социальное обслуживание и защита;Оказание гос. соц. помощи
287;Здравоохранение/Медицина;Проблемы с контейнерами
288;Благоустройство;Ремонт дороги
289;Социальное обслуживание и защита;Оказание гос. соц. помощи
290;Безопасность;Некорректное поведение водительского состава
291;Благоустройство;Благоустройство общественного пространства (парк, сквер, пешеходная зона, бульвар, набережная, центральная улица или площадь)
292;Общественный транспорт;Проблемы с социальными картами или проездными документами
293;Социальное обслуживание и защита;★ Некачественно нанесенная разметка на проезжей части
294;Дороги;★ Нарушение правил очистки дорог от снега и наледи/Обращения о необходимости очистить тротуар от снега и наледи
295;Мусор/Свалки/ТКО;Плата за вывоз ТКО
296;Дороги;★ Нарушение правил очистки дорог от снега и наледи/Обращения о необходимости очистить тротуар от снега и наледи
297;Общественный транспорт;Пенсионеры и ветераны
298;Здравоохранение/Медицина;Нехватка или сокращение врачей и медицинских учреждений
299;Общественный транспорт;Пенсионеры и ветераны
300;Здравоохранение/Медицина;Технические проблемы с записью на прием к врачу
301;Социальное обслуживание и защита;Создание доступной среды для инвалидов
302;Социальное обслуживание и защита;Оказание гос. соц. помощи
303;Благоустройство;Уборка территорий
304;Социальное обслуживание и защита;Дети и многодетные семьи
305;Социальное обслуживание и защита;Дети и многодетные семьи
306;Дороги;★ Нарушение правил очистки дорог от снега и наледи/Обращения о необходимости очистить тротуар от снега и наледи
307;Дороги;Занятость и трудоустройство
308;Благоустройство;Уборка территорий
309;Дороги;Ремонт/строительство мостов
310;Социальное обслуживание и защита;Оказание гос. соц. помощи
311;Мусор/Свалки/ТКО;★ Уборка/Вывоз мусора
312;Социальное обслуживание и защита;Дети и многодетные семьи
313;Образование;Строительство школ, детских садов
314;Социальное обслуживание и защита;Оказание гос. соц. помощи
315;Благоустройство;Борщевик Сосновского
316;Социальное обслуживание и защита;Дети и многодетные семьи
317;Дороги;Работа светофора (установка, изменение режима работы, оборудование кнопкой вызова)
318;Социальное обслуживание и защита;Дети и многодетные семьи
319;Социальное обслуживание и защита;Дети и многодетные семьи
320;Здравоохранение/Медицина;Очередь
321;Здравоохранение/Медицина;Технические проблемы с записью на прием к врачу
322;Здравоохранение/Медицина;★ Оказание медицинской помощи не в полном объеме/отказ в оказании медицинской помощи
323;Социальное обслуживание и защита;Оказание гос. соц. помощи
324;Дороги;★ Нарушение правил очистки дорог от снега и наледи/Обращения о необходимости очистить тротуар от снега и наледи
325;Дороги;★ Нарушение правил очистки дорог от снега и наледи/Обращения о необходимости очистить тротуар от снега и наледи
326;Мусор/Свалки/ТКО;Плата за вывоз ТКО
327;ЖКХ;Жалобы на управляющие компании
328;Социальное обслуживание и защита;Оказание гос. соц. помощи
329;ЖКХ;Ненадлежащее качество или отсутствие отопления
330;Коронавирус;Коронавирус
331;ЖКХ;Отсутствие горячей воды
332;ЖКХ;Жалобы на управляющие компании
333;Благоустройство;★ Неисправные фонари освещения
334;Благоустройство;Обустройство асфальтового покрытия парковки, внутридворового проезда, тротуара, пешеходной дорожки, въезда во двор
335;ЖКХ;Жалобы на управляющие компании
336;ЖКХ;Ремонт подъездов
337;Мусор/Свалки/ТКО;★ Стихийные свалки в городе/в парках/в лесу
338;Мусор/Свалки/ТКО;Ямы и выбоины на дороге
339;Здравоохранение/Медицина;Нехватка или сокращение врачей и медицинских учреждений
340;Благоустройство;Вырубка деревьев, кустарников
341;Социальное обслуживание и защита;Оказание гос. соц. помощи
342;Социальное обслуживание и защита;Оказание гос. соц. помощи
343;ЖКХ;Ненадлежащее качество или отсутствие отопления
344;Дороги;★ Нарушение правил очистки дорог от снега и наледи/Обращения о необходимости очистить тротуар от снега и наледи
345;Социальное обслуживание и защита;Оказание гос. соц. помощи
346;Здравоохранение/Медицина;Профильный осмотр
347;Благоустройство;Благоустройство общественного пространства (парк, сквер, пешеходная зона, бульвар, набережная, центральная улица или площадь)
348;Дороги;Занятость и трудоустройство
349;Здравоохранение/Медицина;Технические проблемы с записью на прием к врачу
350;Здравоохранение/Медицина;★ Оказание медицинской помощи не в полном объеме/отказ в оказании медицинской помощи
351;Дороги;Занятость и трудоустройство
352;Социальное обслуживание и защита;Оказание гос. соц. помощи
353;Мусор/Свалки/ТКО;Плата за вывоз ТКО
354;Общественный транспорт;Проблемы с социальными картами или проездными документами
355;Дороги;Занятость и трудоустройство
356;Социальное обслуживание и защита;Государственные услуги
357;Дороги;Занятость и трудоустройство
358;Дороги;Содержание дорожных знаков/Установка новых дорожных знаков, с внесением в схему дислокации, замена старых знаков на новые
359;Здравоохранение/Медицина;Технические проблемы с записью на прием к врачу
360;Мусор/Свалки/ТКО;★ Уборка/Вывоз мусора
361;Дороги;★ Нарушение правил очистки дорог от снега и наледи/Обращения о необходимости очистить тротуар от снега и наледи
362;Дороги;★ Нарушение правил очистки дорог от снега и наледи/Обращения о необходимости очистить тротуар от снега и наледи
363;Дороги;★ Нарушение правил очистки дорог от снега и наледи/Обращения о необходимости очистить тротуар от снега и наледи
364;ЖКХ;Жалобы на управляющие компании
365;Благоустройство;Благоустройство общественного пространства (парк, сквер, пешеходная зона, бульвар, набережная, центральная улица или площадь)
366;Дороги;Занятость и трудоустройство
367;Здравоохранение/Медицина;★ Просьбы о лечении
368;Здравоохранение/Медицина;★ Оказание медицинской помощи не в полном объеме/отказ в оказании медицинской помощи
369;Здравоохранение/Медицина;Отсутствие лекарств в аптеках
370;ЖКХ;Отсутствие горячей воды
371;Здравоохранение/Медицина;Нехватка или сокращение врачей и медицинских учреждений
372;Коронавирус;Доступность вакцин
373;Образование;Образовательный процесс
374;Благоустройство;Благоустройство общественного пространства (парк, сквер, пешеходная зона, бульвар, набережная, центральная улица или площадь)
